{'statement': 'Someone is looking for a city with warm weather. Between Dar es Salaam and Indianapolis, this person should visit Dar es Salaam.', 'answer': 'Dar es Salaam', 'candidate': 'Indianapolis'}
{'statement': 'Someone is looking for a city with warm weather. Between Caracas and Omaha, this person should visit Caracas.', 'answer': 'Caracas', 'candidate': 'Omaha'}
{'statement': 'Someone is looking for a city with warm weather. Between Phnom Penh and Irkutsk, this person should visit Phnom Penh.', 'answer': 'Phnom Penh', 'candidate': 'Irkutsk'}
{'statement': 'Someone is looking for a city with warm weather. Between Parakou and Skopje, this person should visit Parakou.', 'answer': 'Parakou', 'candidate': 'Skopje'}
{'statement': 'Someone is looking for a city with warm weather. Between Mandalay and Podgorica, this person should visit Mandalay.', 'answer': 'Mandalay', 'candidate': 'Podgorica'}
{'statement': 'Someone is looking for a city with warm weather. Between Rosario and Novosibirsk, this person should visit Rosario.', 'answer': 'Rosario', 'candidate': 'Novosibirsk'}
{'statement': 'Someone is looking for a city with warm weather. Between Bata and Lviv, this person should visit Bata.', 'answer': 'Bata', 'candidate': 'Lviv'}
{'statement': 'Someone is looking for a city with warm weather. Between Tampa and Ushuaia, this person should visit Tampa.', 'answer': 'Tampa', 'candidate': 'Ushuaia'}
{'statement': 'Someone is looking for a city with warm weather. Between Bangui and Baku, this person should visit Bangui.', 'answer': 'Bangui', 'candidate': 'Baku'}
{'statement': 'Someone is looking for a city with warm weather. Between San Juan and Indianapolis, this person should visit San Juan.', 'answer': 'San Juan', 'candidate': 'Indianapolis'}
{'statement': 'Someone is looking for a city with warm weather. Between Garissa and Erzurum, this person should visit Garissa.', 'answer': 'Garissa', 'candidate': 'Erzurum'}
{'statement': 'Someone is looking for a city with warm weather. Between Wau and Johannesburg, this person should visit Wau.', 'answer': 'Wau', 'candidate': 'Johannesburg'}
{'statement': 'Someone is looking for a city with warm weather. Between Mumbai and Punta Arenas, this person should visit Mumbai.', 'answer': 'Mumbai', 'candidate': 'Punta Arenas'}
{'statement': 'Someone is looking for a city with warm weather. Between Vientiane and Halifax, this person should visit Vientiane.', 'answer': 'Vientiane', 'candidate': 'Halifax'}
{'statement': 'Someone is looking for a city with warm weather. Between Thiès and Moscow, this person should visit Thiès.', 'answer': 'Thiès', 'candidate': 'Moscow'}
{'statement': 'Someone is looking for a city with warm weather. Between Phnom Penh and Chicago, this person should visit Phnom Penh.', 'answer': 'Phnom Penh', 'candidate': 'Chicago'}
{'statement': 'Someone is looking for a city with warm weather. Between Hanoi and Punta Arenas, this person should visit Hanoi.', 'answer': 'Hanoi', 'candidate': 'Punta Arenas'}
{'statement': 'Someone is looking for a city with warm weather. Between Riyadh and Ushuaia, this person should visit Riyadh.', 'answer': 'Riyadh', 'candidate': 'Ushuaia'}
{'statement': 'Someone is looking for a city with warm weather. Between Sydney and Kuopio, this person should visit Sydney.', 'answer': 'Sydney', 'candidate': 'Kuopio'}
{'statement': 'Someone is looking for a city with warm weather. Between Ouahigouya and Suwałki, this person should visit Ouahigouya.', 'answer': 'Ouahigouya', 'candidate': 'Suwałki'}
{'statement': 'Someone is looking for a city with warm weather. Between Entebbe and Minneapolis, this person should visit Entebbe.', 'answer': 'Entebbe', 'candidate': 'Minneapolis'}
{'statement': 'Someone is looking for a city with warm weather. Between Thiès and Ushuaia, this person should visit Thiès.', 'answer': 'Thiès', 'candidate': 'Ushuaia'}
{'statement': 'Someone is looking for a city with warm weather. Between La Paz and Ottawa, this person should visit La Paz.', 'answer': 'La Paz', 'candidate': 'Ottawa'}
{'statement': 'Someone is looking for a city with warm weather. Between Garissa and Asmara, this person should visit Garissa.', 'answer': 'Garissa', 'candidate': 'Asmara'}
{'statement': 'Someone is looking for a city with warm weather. Between Garissa and Saskatoon, this person should visit Garissa.', 'answer': 'Garissa', 'candidate': 'Saskatoon'}
{'statement': 'Someone is looking for a city with warm weather. Between Darwin and Fukuoka, this person should visit Darwin.', 'answer': 'Darwin', 'candidate': 'Fukuoka'}
{'statement': 'Someone is looking for a city with warm weather. Between Djibouti and Córdoba, this person should visit Djibouti.', 'answer': 'Djibouti', 'candidate': 'Córdoba'}
