{'statement': 'Between Bamako and Dublin, the city with higher average temperature is Bamako.', 'answer': 'Bamako', 'candidate': 'Dublin'}
{'statement': 'Between Willemstad and Baltimore, the city with higher average temperature is Willemstad.', 'answer': 'Willemstad', 'candidate': 'Baltimore'}
{'statement': 'Between Willemstad and Tirana, the city with higher average temperature is Willemstad.', 'answer': 'Willemstad', 'candidate': 'Tirana'}
{'statement': 'Between Toamasina and Indianapolis, the city with higher average temperature is Toamasina.', 'answer': 'Toamasina', 'candidate': 'Indianapolis'}
{'statement': 'Between Pontianak and Zagreb, the city with higher average temperature is Pontianak.', 'answer': 'Pontianak', 'candidate': 'Zagreb'}
{'statement': 'Between Hat Yai and Skopje, the city with higher average temperature is Hat Yai.', 'answer': 'Hat Yai', 'candidate': 'Skopje'}
{'statement': 'Between Lomé and Lhasa, the city with higher average temperature is Lomé.', 'answer': 'Lomé', 'candidate': 'Lhasa'}
{'statement': 'Between Muscat and Punta Arenas, the city with higher average temperature is Muscat.', 'answer': 'Muscat', 'candidate': 'Punta Arenas'}
{'statement': 'Between Garissa and Podgorica, the city with higher average temperature is Garissa.', 'answer': 'Garissa', 'candidate': 'Podgorica'}
{'statement': 'Between Kathmandu and Suwałki, the city with higher average temperature is Kathmandu.', 'answer': 'Kathmandu', 'candidate': 'Suwałki'}
{'statement': 'Between Ouahigouya and Saint Petersburg, the city with higher average temperature is Ouahigouya.', 'answer': 'Ouahigouya', 'candidate': 'Saint Petersburg'}
{'statement': 'Between Hamilton and Erzurum, the city with higher average temperature is Hamilton.', 'answer': 'Hamilton', 'candidate': 'Erzurum'}
{'statement': 'Between Douala and Skopje, the city with higher average temperature is Douala.', 'answer': 'Douala', 'candidate': 'Skopje'}
{'statement': 'Between Antofagasta and Minsk, the city with higher average temperature is Antofagasta.', 'answer': 'Antofagasta', 'candidate': 'Minsk'}
{'statement': 'Between Malabo and Sacramento, the city with higher average temperature is Malabo.', 'answer': 'Malabo', 'candidate': 'Sacramento'}
{'statement': 'Between Lusaka and Murmansk, the city with higher average temperature is Lusaka.', 'answer': 'Lusaka', 'candidate': 'Murmansk'}
{'statement': 'Between Sydney and Fairbanks, the city with higher average temperature is Sydney.', 'answer': 'Sydney', 'candidate': 'Fairbanks'}
{'statement': 'Between Tampa and Anchorage, the city with higher average temperature is Tampa.', 'answer': 'Tampa', 'candidate': 'Anchorage'}
{'statement': 'Between Port Sudan and Ulaanbaatar, the city with higher average temperature is Port Sudan.', 'answer': 'Port Sudan', 'candidate': 'Ulaanbaatar'}
{'statement': 'Between Toamasina and Chicago, the city with higher average temperature is Toamasina.', 'answer': 'Toamasina', 'candidate': 'Chicago'}
{'statement': 'Between Florianópolis and Fairbanks, the city with higher average temperature is Florianópolis.', 'answer': 'Florianópolis', 'candidate': 'Fairbanks'}
{'statement': 'Between Djibouti and Pittsburgh, the city with higher average temperature is Djibouti.', 'answer': 'Djibouti', 'candidate': 'Pittsburgh'}
{'statement': 'Between Abéché and Kabul, the city with higher average temperature is Abéché.', 'answer': 'Abéché', 'candidate': 'Kabul'}
{'statement': 'Between Antsiranana and Murmansk, the city with higher average temperature is Antsiranana.', 'answer': 'Antsiranana', 'candidate': 'Murmansk'}
{'statement': 'Between La Ceiba and Albuquerque, the city with higher average temperature is La Ceiba.', 'answer': 'La Ceiba', 'candidate': 'Albuquerque'}
{'statement': 'Between Fukuoka and Saskatoon, the city with higher average temperature is Fukuoka.', 'answer': 'Fukuoka', 'candidate': 'Saskatoon'}
{'statement': 'Between San Antonio and Murmansk, the city with higher average temperature is San Antonio.', 'answer': 'San Antonio', 'candidate': 'Murmansk'}
{'statement': 'Between Bangui and Oslo, the city with higher average temperature is Bangui.', 'answer': 'Bangui', 'candidate': 'Oslo'}
{'statement': 'Between Ouahigouya and Vladivostok, the city with higher average temperature is Ouahigouya.', 'answer': 'Ouahigouya', 'candidate': 'Vladivostok'}
{'statement': 'Between Honolulu and Toronto, the city with higher average temperature is Honolulu.', 'answer': 'Honolulu', 'candidate': 'Toronto'}
{'statement': 'Between Ho Chi Minh City and Punta Arenas, the city with higher average temperature is Ho Chi Minh City.', 'answer': 'Ho Chi Minh City', 'candidate': 'Punta Arenas'}
{'statement': 'Between Mombasa and Zagreb, the city with higher average temperature is Mombasa.', 'answer': 'Mombasa', 'candidate': 'Zagreb'}
{'statement': 'Between Makurdi and Bucharest, the city with higher average temperature is Makurdi.', 'answer': 'Makurdi', 'candidate': 'Bucharest'}
{'statement': 'Between Caracas and Amsterdam, the city with higher average temperature is Caracas.', 'answer': 'Caracas', 'candidate': 'Amsterdam'}
{'statement': 'Between Hat Yai and Ushuaia, the city with higher average temperature is Hat Yai.', 'answer': 'Hat Yai', 'candidate': 'Ushuaia'}
{'statement': 'Between Florianópolis and Ulaanbaatar, the city with higher average temperature is Florianópolis.', 'answer': 'Florianópolis', 'candidate': 'Ulaanbaatar'}
