{'statement': 'Between Córdoba and Bogotá, the bigger city is Bogotá.', 'answer': 'Bogotá', 'candidate': 'Córdoba'}
{'statement': 'Between Palembang and Lagos, the bigger city is Lagos.', 'answer': 'Lagos', 'candidate': 'Palembang'}
{'statement': 'Between Podgorica and Kabul, the bigger city is Kabul.', 'answer': 'Kabul', 'candidate': 'Podgorica'}
{'statement': 'Between Beijing and Bangui, the bigger city is Beijing.', 'answer': 'Beijing', 'candidate': 'Bangui'}
{'statement': 'Between Port Sudan and Toronto, the bigger city is Toronto.', 'answer': 'Toronto', 'candidate': 'Port Sudan'}
{'statement': 'Between Dar es Salaam and Harare, the bigger city is Dar es Salaam.', 'answer': 'Dar es Salaam', 'candidate': 'Harare'}
{'statement': 'Between Ankara and Caracas, the bigger city is Ankara.', 'answer': 'Ankara', 'candidate': 'Caracas'}
{'statement': 'Between Malabo and Kabul, the bigger city is Kabul.', 'answer': 'Kabul', 'candidate': 'Malabo'}
{'statement': 'Between Ankara and Bucharest, the bigger city is Ankara.', 'answer': 'Ankara', 'candidate': 'Bucharest'}
{'statement': 'Between Buenos Aires and Reykjavík, the bigger city is Buenos Aires.', 'answer': 'Buenos Aires', 'candidate': 'Reykjavík'}
{'statement': 'Between Albuquerque and Kuwait City, the bigger city is Kuwait City.', 'answer': 'Kuwait City', 'candidate': 'Albuquerque'}
{'statement': 'Between Tabora and Ürümqi, the bigger city is Ürümqi.', 'answer': 'Ürümqi', 'candidate': 'Tabora'}
{'statement': 'Between Minneapolis and San José, the bigger city is Minneapolis.', 'answer': 'Minneapolis', 'candidate': 'San José'}
{'statement': 'Between Kabul and Beijing, the bigger city is Beijing.', 'answer': 'Beijing', 'candidate': 'Kabul'}
{'statement': 'Between Phnom Penh and Guangzhou, the bigger city is Guangzhou.', 'answer': 'Guangzhou', 'candidate': 'Phnom Penh'}
{'statement': 'Between Bangkok and Sucre, the bigger city is Bangkok.', 'answer': 'Bangkok', 'candidate': 'Sucre'}
{'statement': 'Between Fukuoka and Jakarta, the bigger city is Jakarta.', 'answer': 'Jakarta', 'candidate': 'Fukuoka'}
{'statement': 'Between Lima and Antofagasta, the bigger city is Lima.', 'answer': 'Lima', 'candidate': 'Antofagasta'}
{'statement': 'Between Thiès and Phoenix, the bigger city is Phoenix.', 'answer': 'Phoenix', 'candidate': 'Thiès'}
{'statement': 'Between Mexico City and Parakou, the bigger city is Mexico City.', 'answer': 'Mexico City', 'candidate': 'Parakou'}
{'statement': 'Between Cairo and Ho Chi Minh City, the bigger city is Cairo.', 'answer': 'Cairo', 'candidate': 'Ho Chi Minh City'}
