{'statement': 'Between Garoua and Belgrade, the city with colder weather is Belgrade.', 'answer': 'Belgrade', 'candidate': 'Garoua'}
{'statement': 'Between Port Moresby and Wellington, the city with colder weather is Wellington.', 'answer': 'Wellington', 'candidate': 'Port Moresby'}
{'statement': 'Between Panama City and Kuopio, the city with colder weather is Kuopio.', 'answer': 'Kuopio', 'candidate': 'Panama City'}
{'statement': 'Between Rabat and Saint Petersburg, the city with colder weather is Saint Petersburg.', 'answer': 'Saint Petersburg', 'candidate': 'Rabat'}
{'statement': 'Between Dar es Salaam and Murmansk, the city with colder weather is Murmansk.', 'answer': 'Murmansk', 'candidate': 'Dar es Salaam'}
{'statement': 'Between Bangkok and Milwaukee, the city with colder weather is Milwaukee.', 'answer': 'Milwaukee', 'candidate': 'Bangkok'}
{'statement': 'Between Baghdad and Zürich, the city with colder weather is Zürich.', 'answer': 'Zürich', 'candidate': 'Baghdad'}
{'statement': 'Between Caracas and Fairbanks, the city with colder weather is Fairbanks.', 'answer': 'Fairbanks', 'candidate': 'Caracas'}
{'statement': 'Between Bahía Blanca and Fairbanks, the city with colder weather is Fairbanks.', 'answer': 'Fairbanks', 'candidate': 'Bahía Blanca'}
{'statement': 'Between Mombasa and Addis Ababa, the city with colder weather is Addis Ababa.', 'answer': 'Addis Ababa', 'candidate': 'Mombasa'}
{'statement': 'Between San Juan and Albuquerque, the city with colder weather is Albuquerque.', 'answer': 'Albuquerque', 'candidate': 'San Juan'}
{'statement': 'Between Benghazi and Toronto, the city with colder weather is Toronto.', 'answer': 'Toronto', 'candidate': 'Benghazi'}
{'statement': 'Between Djibouti and Fukuoka, the city with colder weather is Fukuoka.', 'answer': 'Fukuoka', 'candidate': 'Djibouti'}
{'statement': 'Between Brisbane and Novosibirsk, the city with colder weather is Novosibirsk.', 'answer': 'Novosibirsk', 'candidate': 'Brisbane'}
{'statement': 'Between Bangkok and Johannesburg, the city with colder weather is Johannesburg.', 'answer': 'Johannesburg', 'candidate': 'Bangkok'}
{'statement': 'Between Alexandria and Lviv, the city with colder weather is Lviv.', 'answer': 'Lviv', 'candidate': 'Alexandria'}
{'statement': 'Between Fianarantsoa and Saint Petersburg, the city with colder weather is Saint Petersburg.', 'answer': 'Saint Petersburg', 'candidate': 'Fianarantsoa'}
{'statement': 'Between Belize City and Moscow, the city with colder weather is Moscow.', 'answer': 'Moscow', 'candidate': 'Belize City'}
{'statement': 'Between Toliara and Milwaukee, the city with colder weather is Milwaukee.', 'answer': 'Milwaukee', 'candidate': 'Toliara'}
{'statement': 'Between Goiânia and Oslo, the city with colder weather is Oslo.', 'answer': 'Oslo', 'candidate': 'Goiânia'}
{'statement': 'Between Garissa and Lisbon, the city with colder weather is Lisbon.', 'answer': 'Lisbon', 'candidate': 'Garissa'}
{'statement': 'Between Kabul and Ulaanbaatar, the city with colder weather is Ulaanbaatar.', 'answer': 'Ulaanbaatar', 'candidate': 'Kabul'}
{'statement': 'Between Kansas City and Murmansk, the city with colder weather is Murmansk.', 'answer': 'Murmansk', 'candidate': 'Kansas City'}
{'statement': 'Between Nakhon Ratchasima and Wellington, the city with colder weather is Wellington.', 'answer': 'Wellington', 'candidate': 'Nakhon Ratchasima'}
{'statement': 'Between Garissa and Tauranga, the city with colder weather is Tauranga.', 'answer': 'Tauranga', 'candidate': 'Garissa'}
{'statement': 'Between Managua and Saskatoon, the city with colder weather is Saskatoon.', 'answer': 'Saskatoon', 'candidate': 'Managua'}
{'statement': 'Between Riyadh and Vladivostok, the city with colder weather is Vladivostok.', 'answer': 'Vladivostok', 'candidate': 'Riyadh'}
{'statement': 'Between Boise and Fairbanks, the city with colder weather is Fairbanks.', 'answer': 'Fairbanks', 'candidate': 'Boise'}
{'statement': 'Between Cotonou and Tirana, the city with colder weather is Tirana.', 'answer': 'Tirana', 'candidate': 'Cotonou'}
{'statement': 'Between Paramaribo and Erzurum, the city with colder weather is Erzurum.', 'answer': 'Erzurum', 'candidate': 'Paramaribo'}
{'statement': 'Between Entebbe and Vienna, the city with colder weather is Vienna.', 'answer': 'Vienna', 'candidate': 'Entebbe'}
{'statement': 'Between Jakarta and Moscow, the city with colder weather is Moscow.', 'answer': 'Moscow', 'candidate': 'Jakarta'}
{'statement': 'Between Dar es Salaam and Canberra, the city with colder weather is Canberra.', 'answer': 'Canberra', 'candidate': 'Dar es Salaam'}
{'statement': 'Between Toliara and Vladivostok, the city with colder weather is Vladivostok.', 'answer': 'Vladivostok', 'candidate': 'Toliara'}
{'statement': 'Between Suva and Dublin, the city with colder weather is Dublin.', 'answer': 'Dublin', 'candidate': 'Suva'}
{'statement': 'Between Kathmandu and Minsk, the city with colder weather is Minsk.', 'answer': 'Minsk', 'candidate': 'Kathmandu'}
{'statement': 'Between Makurdi and Pittsburgh, the city with colder weather is Pittsburgh.', 'answer': 'Pittsburgh', 'candidate': 'Makurdi'}
{'statement': 'Between Jakarta and Yinchuan, the city with colder weather is Yinchuan.', 'answer': 'Yinchuan', 'candidate': 'Jakarta'}
{'statement': 'Between Caracas and Bishkek, the city with colder weather is Bishkek.', 'answer': 'Bishkek', 'candidate': 'Caracas'}
{'statement': 'Between Brisbane and Amsterdam, the city with colder weather is Amsterdam.', 'answer': 'Amsterdam', 'candidate': 'Brisbane'}
{'statement': 'Between Yaoundé and Bucharest, the city with colder weather is Bucharest.', 'answer': 'Bucharest', 'candidate': 'Yaoundé'}
{'statement': 'Between Panama City and Changsha, the city with colder weather is Changsha.', 'answer': 'Changsha', 'candidate': 'Panama City'}
{'statement': 'Between Tamanrasset and Lviv, the city with colder weather is Lviv.', 'answer': 'Lviv', 'candidate': 'Tamanrasset'}
{'statement': 'Between Monterrey and Ottawa, the city with colder weather is Ottawa.', 'answer': 'Ottawa', 'candidate': 'Monterrey'}
{'statement': 'Between Cayenne and Anchorage, the city with colder weather is Anchorage.', 'answer': 'Anchorage', 'candidate': 'Cayenne'}
{'statement': 'Between Panama City and Almaty, the city with colder weather is Almaty.', 'answer': 'Almaty', 'candidate': 'Panama City'}
{'statement': 'Between Phoenix and Bratislava, the city with colder weather is Bratislava.', 'answer': 'Bratislava', 'candidate': 'Phoenix'}
{'statement': 'Between Tampa and Murmansk, the city with colder weather is Murmansk.', 'answer': 'Murmansk', 'candidate': 'Tampa'}
{'statement': 'Between Barranquilla and Bratislava, the city with colder weather is Bratislava.', 'answer': 'Bratislava', 'candidate': 'Barranquilla'}
{'statement': 'Between San Salvador and Saint Petersburg, the city with colder weather is Saint Petersburg.', 'answer': 'Saint Petersburg', 'candidate': 'San Salvador'}
{'statement': 'Between Lomé and Pittsburgh, the city with colder weather is Pittsburgh.', 'answer': 'Pittsburgh', 'candidate': 'Lomé'}
{'statement': 'Between Darwin and Palmerston North, the city with colder weather is Palmerston North.', 'answer': 'Palmerston North', 'candidate': 'Darwin'}
{'statement': 'Between Bangkok and Suwałki, the city with colder weather is Suwałki.', 'answer': 'Suwałki', 'candidate': 'Bangkok'}
{'statement': 'Between Mandalay and Melbourne, the city with colder weather is Melbourne.', 'answer': 'Melbourne', 'candidate': 'Mandalay'}
{'statement': 'Between Nouakchott and Saskatoon, the city with colder weather is Saskatoon.', 'answer': 'Saskatoon', 'candidate': 'Nouakchott'}
{'statement': 'Between Lagos and Yinchuan, the city with colder weather is Yinchuan.', 'answer': 'Yinchuan', 'candidate': 'Lagos'}
{'statement': 'Between Florianópolis and Almaty, the city with colder weather is Almaty.', 'answer': 'Almaty', 'candidate': 'Florianópolis'}
{'statement': 'Between Manila and Minsk, the city with colder weather is Minsk.', 'answer': 'Minsk', 'candidate': 'Manila'}
{'statement': 'Between Malabo and Halifax, the city with colder weather is Halifax.', 'answer': 'Halifax', 'candidate': 'Malabo'}
{'statement': 'Between Bamako and Ürümqi, the city with colder weather is Ürümqi.', 'answer': 'Ürümqi', 'candidate': 'Bamako'}
{'statement': 'Between San Juan and Yakutsk, the city with colder weather is Yakutsk.', 'answer': 'Yakutsk', 'candidate': 'San Juan'}
{'statement': 'Between Lomé and Zürich, the city with colder weather is Zürich.', 'answer': 'Zürich', 'candidate': 'Lomé'}
{'statement': 'Between Palembang and Dublin, the city with colder weather is Dublin.', 'answer': 'Dublin', 'candidate': 'Palembang'}
{'statement': 'Between Hanoi and Canberra, the city with colder weather is Canberra.', 'answer': 'Canberra', 'candidate': 'Hanoi'}
{'statement': 'Between Nouakchott and Yakutsk, the city with colder weather is Yakutsk.', 'answer': 'Yakutsk', 'candidate': 'Nouakchott'}
{'statement': 'Between Abéché and Lhasa, the city with colder weather is Lhasa.', 'answer': 'Lhasa', 'candidate': 'Abéché'}
{'statement': 'Between Ndola and Ulaanbaatar, the city with colder weather is Ulaanbaatar.', 'answer': 'Ulaanbaatar', 'candidate': 'Ndola'}
{'statement': 'Between Tabora and Oslo, the city with colder weather is Oslo.', 'answer': 'Oslo', 'candidate': 'Tabora'}
{'statement': 'Between Lahore and Bucharest, the city with colder weather is Bucharest.', 'answer': 'Bucharest', 'candidate': 'Lahore'}
{'statement': 'Between Quito and Irkutsk, the city with colder weather is Irkutsk.', 'answer': 'Irkutsk', 'candidate': 'Quito'}
{'statement': 'Between Phoenix and Irkutsk, the city with colder weather is Irkutsk.', 'answer': 'Irkutsk', 'candidate': 'Phoenix'}
{'statement': 'Between Vientiane and Auckland, the city with colder weather is Auckland.', 'answer': 'Auckland', 'candidate': 'Vientiane'}
{'statement': 'Between Managua and Copenhagen, the city with colder weather is Copenhagen.', 'answer': 'Copenhagen', 'candidate': 'Managua'}
{'statement': 'Between Makurdi and Belgrade, the city with colder weather is Belgrade.', 'answer': 'Belgrade', 'candidate': 'Makurdi'}
{'statement': 'Between Abéché and Copenhagen, the city with colder weather is Copenhagen.', 'answer': 'Copenhagen', 'candidate': 'Abéché'}
{'statement': 'Between Ho Chi Minh City and Berlin, the city with colder weather is Berlin.', 'answer': 'Berlin', 'candidate': 'Ho Chi Minh City'}
{'statement': 'Between Ségou and Bratislava, the city with colder weather is Bratislava.', 'answer': 'Bratislava', 'candidate': 'Ségou'}
{'statement': 'Between Pontianak and Brussels, the city with colder weather is Brussels.', 'answer': 'Brussels', 'candidate': 'Pontianak'}
{'statement': 'Between Vientiane and Amsterdam, the city with colder weather is Amsterdam.', 'answer': 'Amsterdam', 'candidate': 'Vientiane'}
{'statement': 'Between Florianópolis and Berlin, the city with colder weather is Berlin.', 'answer': 'Berlin', 'candidate': 'Florianópolis'}
{'statement': 'Between Tripoli and Toronto, the city with colder weather is Toronto.', 'answer': 'Toronto', 'candidate': 'Tripoli'}
