{'statement': 'You are looking for a city with cold weather. Between Mahajanga and Bahía Blanca, you should visit Bahía Blanca.', 'answer': 'Bahía Blanca', 'candidate': 'Mahajanga'}
{'statement': 'You are looking for a city with cold weather. Between Douala and Paris, you should visit Paris.', 'answer': 'Paris', 'candidate': 'Douala'}
{'statement': 'You are looking for a city with cold weather. Between La Paz and Erzurum, you should visit Erzurum.', 'answer': 'Erzurum', 'candidate': 'La Paz'}
{'statement': 'You are looking for a city with cold weather. Between Kano and Cape Town, you should visit Cape Town.', 'answer': 'Cape Town', 'candidate': 'Kano'}
{'statement': 'You are looking for a city with cold weather. Between Ho Chi Minh City and Tirana, you should visit Tirana.', 'answer': 'Tirana', 'candidate': 'Ho Chi Minh City'}
{'statement': 'You are looking for a city with cold weather. Between Kuwait City and Bergen, you should visit Bergen.', 'answer': 'Bergen', 'candidate': 'Kuwait City'}
{'statement': 'You are looking for a city with cold weather. Between Rosario and Oslo, you should visit Oslo.', 'answer': 'Oslo', 'candidate': 'Rosario'}
{'statement': 'You are looking for a city with cold weather. Between Honolulu and Fairbanks, you should visit Fairbanks.', 'answer': 'Fairbanks', 'candidate': 'Honolulu'}
{'statement': 'You are looking for a city with cold weather. Between Hamilton and Calgary, you should visit Calgary.', 'answer': 'Calgary', 'candidate': 'Hamilton'}
{'statement': 'You are looking for a city with cold weather. Between Kingston and Pittsburgh, you should visit Pittsburgh.', 'answer': 'Pittsburgh', 'candidate': 'Kingston'}
{'statement': 'You are looking for a city with cold weather. Between Djibouti and Podgorica, you should visit Podgorica.', 'answer': 'Podgorica', 'candidate': 'Djibouti'}
{'statement': 'You are looking for a city with cold weather. Between Surabaya and Indianapolis, you should visit Indianapolis.', 'answer': 'Indianapolis', 'candidate': 'Surabaya'}
{'statement': 'You are looking for a city with cold weather. Between Brasília and Calgary, you should visit Calgary.', 'answer': 'Calgary', 'candidate': 'Brasília'}
{'statement': 'You are looking for a city with cold weather. Between San Juan and Bucharest, you should visit Bucharest.', 'answer': 'Bucharest', 'candidate': 'San Juan'}
{'statement': 'You are looking for a city with cold weather. Between Hanoi and Frankfurt, you should visit Frankfurt.', 'answer': 'Frankfurt', 'candidate': 'Hanoi'}
