{'statement': 'Between Dar es Salaam and Indianapolis, the city with colder weather is Indianapolis.', 'answer': 'Indianapolis', 'candidate': 'Dar es Salaam'}
{'statement': 'Between Caracas and Omaha, the city with colder weather is Omaha.', 'answer': 'Omaha', 'candidate': 'Caracas'}
{'statement': 'Between Phnom Penh and Irkutsk, the city with colder weather is Irkutsk.', 'answer': 'Irkutsk', 'candidate': 'Phnom Penh'}
{'statement': 'Between Parakou and Skopje, the city with colder weather is Skopje.', 'answer': 'Skopje', 'candidate': 'Parakou'}
{'statement': 'Between Mandalay and Podgorica, the city with colder weather is Podgorica.', 'answer': 'Podgorica', 'candidate': 'Mandalay'}
{'statement': 'Between Rosario and Novosibirsk, the city with colder weather is Novosibirsk.', 'answer': 'Novosibirsk', 'candidate': 'Rosario'}
{'statement': 'Between Bata and Lviv, the city with colder weather is Lviv.', 'answer': 'Lviv', 'candidate': 'Bata'}
{'statement': 'Between Tampa and Ushuaia, the city with colder weather is Ushuaia.', 'answer': 'Ushuaia', 'candidate': 'Tampa'}
{'statement': 'Between Bangui and Baku, the city with colder weather is Baku.', 'answer': 'Baku', 'candidate': 'Bangui'}
{'statement': 'Between San Juan and Indianapolis, the city with colder weather is Indianapolis.', 'answer': 'Indianapolis', 'candidate': 'San Juan'}
{'statement': 'Between Garissa and Erzurum, the city with colder weather is Erzurum.', 'answer': 'Erzurum', 'candidate': 'Garissa'}
{'statement': 'Between Wau and Johannesburg, the city with colder weather is Johannesburg.', 'answer': 'Johannesburg', 'candidate': 'Wau'}
{'statement': 'Between Mumbai and Punta Arenas, the city with colder weather is Punta Arenas.', 'answer': 'Punta Arenas', 'candidate': 'Mumbai'}
{'statement': 'Between Vientiane and Halifax, the city with colder weather is Halifax.', 'answer': 'Halifax', 'candidate': 'Vientiane'}
{'statement': 'Between Thiès and Moscow, the city with colder weather is Moscow.', 'answer': 'Moscow', 'candidate': 'Thiès'}
{'statement': 'Between Phnom Penh and Chicago, the city with colder weather is Chicago.', 'answer': 'Chicago', 'candidate': 'Phnom Penh'}
{'statement': 'Between Hanoi and Punta Arenas, the city with colder weather is Punta Arenas.', 'answer': 'Punta Arenas', 'candidate': 'Hanoi'}
{'statement': 'Between Riyadh and Ushuaia, the city with colder weather is Ushuaia.', 'answer': 'Ushuaia', 'candidate': 'Riyadh'}
{'statement': 'Between Sydney and Kuopio, the city with colder weather is Kuopio.', 'answer': 'Kuopio', 'candidate': 'Sydney'}
{'statement': 'Between Ouahigouya and Suwałki, the city with colder weather is Suwałki.', 'answer': 'Suwałki', 'candidate': 'Ouahigouya'}
{'statement': 'Between Entebbe and Minneapolis, the city with colder weather is Minneapolis.', 'answer': 'Minneapolis', 'candidate': 'Entebbe'}
{'statement': 'Between Thiès and Ushuaia, the city with colder weather is Ushuaia.', 'answer': 'Ushuaia', 'candidate': 'Thiès'}
{'statement': 'Between La Paz and Ottawa, the city with colder weather is Ottawa.', 'answer': 'Ottawa', 'candidate': 'La Paz'}
{'statement': 'Between Garissa and Asmara, the city with colder weather is Asmara.', 'answer': 'Asmara', 'candidate': 'Garissa'}
{'statement': 'Between Garissa and Saskatoon, the city with colder weather is Saskatoon.', 'answer': 'Saskatoon', 'candidate': 'Garissa'}
{'statement': 'Between Darwin and Fukuoka, the city with colder weather is Fukuoka.', 'answer': 'Fukuoka', 'candidate': 'Darwin'}
{'statement': 'Between Djibouti and Córdoba, the city with colder weather is Córdoba.', 'answer': 'Córdoba', 'candidate': 'Djibouti'}
{'statement': 'Between Garissa and Mendoza, the city with colder weather is Mendoza.', 'answer': 'Mendoza', 'candidate': 'Garissa'}
{'statement': 'Between Hat Yai and Bahía Blanca, the city with colder weather is Bahía Blanca.', 'answer': 'Bahía Blanca', 'candidate': 'Hat Yai'}
{'statement': 'Between Mombasa and Calgary, the city with colder weather is Calgary.', 'answer': 'Calgary', 'candidate': 'Mombasa'}
{'statement': 'Between Malabo and Hobart, the city with colder weather is Hobart.', 'answer': 'Hobart', 'candidate': 'Malabo'}
{'statement': 'Between San Juan and Reykjavík, the city with colder weather is Reykjavík.', 'answer': 'Reykjavík', 'candidate': 'San Juan'}
{'statement': 'Between Mexico City and Oslo, the city with colder weather is Oslo.', 'answer': 'Oslo', 'candidate': 'Mexico City'}
{'statement': 'Between Kathmandu and Erzurum, the city with colder weather is Erzurum.', 'answer': 'Erzurum', 'candidate': 'Kathmandu'}
{'statement': 'Between San Salvador and Lviv, the city with colder weather is Lviv.', 'answer': 'Lviv', 'candidate': 'San Salvador'}
{'statement': 'Between Manila and Ankara, the city with colder weather is Ankara.', 'answer': 'Ankara', 'candidate': 'Manila'}
{'statement': 'Between Medellín and Chicago, the city with colder weather is Chicago.', 'answer': 'Chicago', 'candidate': 'Medellín'}
{'statement': 'Between Thiès and Hobart, the city with colder weather is Hobart.', 'answer': 'Hobart', 'candidate': 'Thiès'}
{'statement': 'Between Sokoto and Brussels, the city with colder weather is Brussels.', 'answer': 'Brussels', 'candidate': 'Sokoto'}
{'statement': 'Between Cairo and Omaha, the city with colder weather is Omaha.', 'answer': 'Omaha', 'candidate': 'Cairo'}
{'statement': 'Between Port Sudan and Christchurch, the city with colder weather is Christchurch.', 'answer': 'Christchurch', 'candidate': 'Port Sudan'}
{'statement': 'Between Ankara and Novosibirsk, the city with colder weather is Novosibirsk.', 'answer': 'Novosibirsk', 'candidate': 'Ankara'}
