{'statement': 'Between Rome and San Juan, the city with a smaller population is San Juan.', 'answer': 'San Juan', 'candidate': 'Rome'}
{'statement': 'Between Manila and Mahajanga, the city with a smaller population is Mahajanga.', 'answer': 'Mahajanga', 'candidate': 'Manila'}
{'statement': 'Between Nairobi and Christchurch, the city with a smaller population is Christchurch.', 'answer': 'Christchurch', 'candidate': 'Nairobi'}
{'statement': 'Between Mumbai and Murmansk, the city with a smaller population is Murmansk.', 'answer': 'Murmansk', 'candidate': 'Mumbai'}
{'statement': 'Between Ho Chi Minh City and Piura, the city with a smaller population is Piura.', 'answer': 'Piura', 'candidate': 'Ho Chi Minh City'}
{'statement': 'Between Bogotá and Tabora, the city with a smaller population is Tabora.', 'answer': 'Tabora', 'candidate': 'Bogotá'}
{'statement': 'Between Algiers and Asmara, the city with a smaller population is Asmara.', 'answer': 'Asmara', 'candidate': 'Algiers'}
{'statement': 'Between Jakarta and Tripoli, the city with a smaller population is Tripoli.', 'answer': 'Tripoli', 'candidate': 'Jakarta'}
{'statement': 'Between Beijing and Port Sudan, the city with a smaller population is Port Sudan.', 'answer': 'Port Sudan', 'candidate': 'Beijing'}
{'statement': 'Between Hanoi and Kuwait City, the city with a smaller population is Kuwait City.', 'answer': 'Kuwait City', 'candidate': 'Hanoi'}
{'statement': 'Between Bogotá and Lviv, the city with a smaller population is Lviv.', 'answer': 'Lviv', 'candidate': 'Bogotá'}
{'statement': 'Between Toronto and Goiânia, the city with a smaller population is Goiânia.', 'answer': 'Goiânia', 'candidate': 'Toronto'}
{'statement': 'Between Santiago and Florianópolis, the city with a smaller population is Florianópolis.', 'answer': 'Florianópolis', 'candidate': 'Santiago'}
{'statement': 'Between Melbourne and Sucre, the city with a smaller population is Sucre.', 'answer': 'Sucre', 'candidate': 'Melbourne'}
{'statement': 'Between Douala and Port-Gentil, the city with a smaller population is Port-Gentil.', 'answer': 'Port-Gentil', 'candidate': 'Douala'}
{'statement': 'Between Santiago and Dublin, the city with a smaller population is Dublin.', 'answer': 'Dublin', 'candidate': 'Santiago'}
{'statement': 'Between Hanoi and Bratislava, the city with a smaller population is Bratislava.', 'answer': 'Bratislava', 'candidate': 'Hanoi'}
{'statement': 'Between Dar es Salaam and Lusaka, the city with a smaller population is Lusaka.', 'answer': 'Lusaka', 'candidate': 'Dar es Salaam'}
{'statement': 'Between Cairo and Mahajanga, the city with a smaller population is Mahajanga.', 'answer': 'Mahajanga', 'candidate': 'Cairo'}
{'statement': 'Between Shanghai and Pretoria, the city with a smaller population is Pretoria.', 'answer': 'Pretoria', 'candidate': 'Shanghai'}
{'statement': 'Between Shanghai and Lisbon, the city with a smaller population is Lisbon.', 'answer': 'Lisbon', 'candidate': 'Shanghai'}
{'statement': 'Between Lagos and Porto Alegre, the city with a smaller population is Porto Alegre.', 'answer': 'Porto Alegre', 'candidate': 'Lagos'}
{'statement': 'Between Kuwait City and La Paz, the city with a smaller population is La Paz.', 'answer': 'La Paz', 'candidate': 'Kuwait City'}
{'statement': 'Between Saint Petersburg and Lyon, the city with a smaller population is Lyon.', 'answer': 'Lyon', 'candidate': 'Saint Petersburg'}
{'statement': 'Between London and Zagreb, the city with a smaller population is Zagreb.', 'answer': 'Zagreb', 'candidate': 'London'}
{'statement': 'Between Kunming and Asmara, the city with a smaller population is Asmara.', 'answer': 'Asmara', 'candidate': 'Kunming'}
{'statement': 'Between Cairo and Phoenix, the city with a smaller population is Phoenix.', 'answer': 'Phoenix', 'candidate': 'Cairo'}
{'statement': 'Between Lahore and Managua, the city with a smaller population is Managua.', 'answer': 'Managua', 'candidate': 'Lahore'}
{'statement': 'Between Chicago and Viedma, the city with a smaller population is Viedma.', 'answer': 'Viedma', 'candidate': 'Chicago'}
{'statement': 'Between Buenos Aires and Ottawa, the city with a smaller population is Ottawa.', 'answer': 'Ottawa', 'candidate': 'Buenos Aires'}
{'statement': 'Between Medellín and Viedma, the city with a smaller population is Viedma.', 'answer': 'Viedma', 'candidate': 'Medellín'}
{'statement': 'Between Lima and Hobart, the city with a smaller population is Hobart.', 'answer': 'Hobart', 'candidate': 'Lima'}
{'statement': 'Between Ho Chi Minh City and Tripoli, the city with a smaller population is Tripoli.', 'answer': 'Tripoli', 'candidate': 'Ho Chi Minh City'}
{'statement': 'Between San Diego and Nouadhibou, the city with a smaller population is Nouadhibou.', 'answer': 'Nouadhibou', 'candidate': 'San Diego'}
{'statement': 'Between Jakarta and Tauranga, the city with a smaller population is Tauranga.', 'answer': 'Tauranga', 'candidate': 'Jakarta'}
{'statement': 'Between Riyadh and Conakry, the city with a smaller population is Conakry.', 'answer': 'Conakry', 'candidate': 'Riyadh'}
{'statement': 'Between Ankara and Damascus, the city with a smaller population is Damascus.', 'answer': 'Damascus', 'candidate': 'Ankara'}
{'statement': 'Between Berlin and Milan, the city with a smaller population is Milan.', 'answer': 'Milan', 'candidate': 'Berlin'}
{'statement': 'Between Johannesburg and Baltimore, the city with a smaller population is Baltimore.', 'answer': 'Baltimore', 'candidate': 'Johannesburg'}
{'statement': 'Between London and Yinchuan, the city with a smaller population is Yinchuan.', 'answer': 'Yinchuan', 'candidate': 'London'}
{'statement': 'Between Houston and Lhasa, the city with a smaller population is Lhasa.', 'answer': 'Lhasa', 'candidate': 'Houston'}
{'statement': 'Between Phoenix and Dodoma, the city with a smaller population is Dodoma.', 'answer': 'Dodoma', 'candidate': 'Phoenix'}
{'statement': 'Between Shanghai and Manaus, the city with a smaller population is Manaus.', 'answer': 'Manaus', 'candidate': 'Shanghai'}
{'statement': 'Between Minneapolis and Piura, the city with a smaller population is Piura.', 'answer': 'Piura', 'candidate': 'Minneapolis'}
{'statement': 'Between Baku and Reykjavík, the city with a smaller population is Reykjavík.', 'answer': 'Reykjavík', 'candidate': 'Baku'}
{'statement': 'Between Medellín and Port Sudan, the city with a smaller population is Port Sudan.', 'answer': 'Port Sudan', 'candidate': 'Medellín'}
{'statement': 'Between Shanghai and Thiès, the city with a smaller population is Thiès.', 'answer': 'Thiès', 'candidate': 'Shanghai'}
{'statement': 'Between Riyadh and Bujumbura, the city with a smaller population is Bujumbura.', 'answer': 'Bujumbura', 'candidate': 'Riyadh'}
{'statement': 'Between Lima and Perth, the city with a smaller population is Perth.', 'answer': 'Perth', 'candidate': 'Lima'}
{'statement': 'Between Luanda and Tauranga, the city with a smaller population is Tauranga.', 'answer': 'Tauranga', 'candidate': 'Luanda'}
{'statement': 'Between Hanoi and Entebbe, the city with a smaller population is Entebbe.', 'answer': 'Entebbe', 'candidate': 'Hanoi'}
{'statement': 'Between Manila and Tripoli, the city with a smaller population is Tripoli.', 'answer': 'Tripoli', 'candidate': 'Manila'}
{'statement': 'Between Guadalajara and Minneapolis, the city with a smaller population is Minneapolis.', 'answer': 'Minneapolis', 'candidate': 'Guadalajara'}
{'statement': 'Between Bangkok and Bogotá, the city with a smaller population is Bogotá.', 'answer': 'Bogotá', 'candidate': 'Bangkok'}
{'statement': 'Between Los Angeles and Hanoi, the city with a smaller population is Hanoi.', 'answer': 'Hanoi', 'candidate': 'Los Angeles'}
{'statement': 'Between Beijing and Tauranga, the city with a smaller population is Tauranga.', 'answer': 'Tauranga', 'candidate': 'Beijing'}
{'statement': 'Between Hanoi and Irkutsk, the city with a smaller population is Irkutsk.', 'answer': 'Irkutsk', 'candidate': 'Hanoi'}
{'statement': 'Between Lahore and Ushuaia, the city with a smaller population is Ushuaia.', 'answer': 'Ushuaia', 'candidate': 'Lahore'}
{'statement': 'Between Alexandria and Belgrade, the city with a smaller population is Belgrade.', 'answer': 'Belgrade', 'candidate': 'Alexandria'}
