{'statement': 'You are looking for a big city to visit. Between Addis Ababa and Cotonou, you should visit Addis Ababa.', 'answer': 'Addis Ababa', 'candidate': 'Cotonou'}
{'statement': 'You are looking for a big city to visit. Between Chicago and Baku, you should visit Chicago.', 'answer': 'Chicago', 'candidate': 'Baku'}
{'statement': 'You are looking for a big city to visit. Between Medellín and Garoua, you should visit Medellín.', 'answer': 'Medellín', 'candidate': 'Garoua'}
{'statement': 'You are looking for a big city to visit. Between Perth and Suwałki, you should visit Perth.', 'answer': 'Perth', 'candidate': 'Suwałki'}
{'statement': 'You are looking for a big city to visit. Between Los Angeles and Lomé, you should visit Los Angeles.', 'answer': 'Los Angeles', 'candidate': 'Lomé'}
{'statement': 'You are looking for a big city to visit. Between Houston and Bishkek, you should visit Houston.', 'answer': 'Houston', 'candidate': 'Bishkek'}
{'statement': 'You are looking for a big city to visit. Between Paris and Cape Town, you should visit Paris.', 'answer': 'Paris', 'candidate': 'Cape Town'}
{'statement': 'You are looking for a big city to visit. Between Melbourne and Ouahigouya, you should visit Melbourne.', 'answer': 'Melbourne', 'candidate': 'Ouahigouya'}
{'statement': 'You are looking for a big city to visit. Between Guadalajara and Kuopio, you should visit Guadalajara.', 'answer': 'Guadalajara', 'candidate': 'Kuopio'}
{'statement': 'You are looking for a big city to visit. Between Nairobi and Pretoria, you should visit Nairobi.', 'answer': 'Nairobi', 'candidate': 'Pretoria'}
{'statement': 'You are looking for a big city to visit. Between London and Bujumbura, you should visit London.', 'answer': 'London', 'candidate': 'Bujumbura'}
{'statement': 'You are looking for a big city to visit. Between Saint Petersburg and Novosibirsk, you should visit Saint Petersburg.', 'answer': 'Saint Petersburg', 'candidate': 'Novosibirsk'}
{'statement': 'You are looking for a big city to visit. Between Luanda and Podgorica, you should visit Luanda.', 'answer': 'Luanda', 'candidate': 'Podgorica'}
{'statement': 'You are looking for a big city to visit. Between Shanghai and Belgrade, you should visit Shanghai.', 'answer': 'Shanghai', 'candidate': 'Belgrade'}
{'statement': 'You are looking for a big city to visit. Between Houston and Ouahigouya, you should visit Houston.', 'answer': 'Houston', 'candidate': 'Ouahigouya'}
{'statement': 'You are looking for a big city to visit. Between Fukuoka and Nouadhibou, you should visit Fukuoka.', 'answer': 'Fukuoka', 'candidate': 'Nouadhibou'}
{'statement': 'You are looking for a big city to visit. Between Sydney and Garoua, you should visit Sydney.', 'answer': 'Sydney', 'candidate': 'Garoua'}
{'statement': 'You are looking for a big city to visit. Between Kabul and Garissa, you should visit Kabul.', 'answer': 'Kabul', 'candidate': 'Garissa'}
{'statement': 'You are looking for a big city to visit. Between Mexico City and Changsha, you should visit Mexico City.', 'answer': 'Mexico City', 'candidate': 'Changsha'}
{'statement': 'You are looking for a big city to visit. Between Kunming and Nur-Sultan, you should visit Kunming.', 'answer': 'Kunming', 'candidate': 'Nur-Sultan'}
{'statement': 'You are looking for a big city to visit. Between Mumbai and Ouahigouya, you should visit Mumbai.', 'answer': 'Mumbai', 'candidate': 'Ouahigouya'}
{'statement': 'You are looking for a big city to visit. Between Sydney and Kuopio, you should visit Sydney.', 'answer': 'Sydney', 'candidate': 'Kuopio'}
{'statement': 'You are looking for a big city to visit. Between Ankara and Cotonou, you should visit Ankara.', 'answer': 'Ankara', 'candidate': 'Cotonou'}
{'statement': 'You are looking for a big city to visit. Between Riyadh and Erbil, you should visit Riyadh.', 'answer': 'Riyadh', 'candidate': 'Erbil'}
{'statement': 'You are looking for a big city to visit. Between Toronto and Makurdi, you should visit Toronto.', 'answer': 'Toronto', 'candidate': 'Makurdi'}
{'statement': 'You are looking for a big city to visit. Between Los Angeles and Changsha, you should visit Los Angeles.', 'answer': 'Los Angeles', 'candidate': 'Changsha'}
{'statement': 'You are looking for a big city to visit. Between London and Barranquilla, you should visit London.', 'answer': 'London', 'candidate': 'Barranquilla'}
{'statement': 'You are looking for a big city to visit. Between Ankara and Skopje, you should visit Ankara.', 'answer': 'Ankara', 'candidate': 'Skopje'}
{'statement': 'You are looking for a big city to visit. Between Karachi and Kano, you should visit Karachi.', 'answer': 'Karachi', 'candidate': 'Kano'}
{'statement': 'You are looking for a big city to visit. Between Cairo and Sokoto, you should visit Cairo.', 'answer': 'Cairo', 'candidate': 'Sokoto'}
{'statement': 'You are looking for a big city to visit. Between London and Pontianak, you should visit London.', 'answer': 'London', 'candidate': 'Pontianak'}
{'statement': 'You are looking for a big city to visit. Between Los Angeles and Belgrade, you should visit Los Angeles.', 'answer': 'Los Angeles', 'candidate': 'Belgrade'}
{'statement': 'You are looking for a big city to visit. Between Melbourne and Zagreb, you should visit Melbourne.', 'answer': 'Melbourne', 'candidate': 'Zagreb'}
{'statement': 'You are looking for a big city to visit. Between Bogotá and Porto Alegre, you should visit Bogotá.', 'answer': 'Bogotá', 'candidate': 'Porto Alegre'}
{'statement': 'You are looking for a big city to visit. Between Saint Petersburg and Zagreb, you should visit Saint Petersburg.', 'answer': 'Saint Petersburg', 'candidate': 'Zagreb'}
{'statement': 'You are looking for a big city to visit. Between Guangzhou and Amsterdam, you should visit Guangzhou.', 'answer': 'Guangzhou', 'candidate': 'Amsterdam'}
{'statement': 'You are looking for a big city to visit. Between Hanoi and Bamako, you should visit Hanoi.', 'answer': 'Hanoi', 'candidate': 'Bamako'}
{'statement': 'You are looking for a big city to visit. Between Los Angeles and Kunming, you should visit Los Angeles.', 'answer': 'Los Angeles', 'candidate': 'Kunming'}
{'statement': 'You are looking for a big city to visit. Between Lagos and Berlin, you should visit Lagos.', 'answer': 'Lagos', 'candidate': 'Berlin'}
{'statement': 'You are looking for a big city to visit. Between Los Angeles and Tirana, you should visit Los Angeles.', 'answer': 'Los Angeles', 'candidate': 'Tirana'}
{'statement': 'You are looking for a big city to visit. Between Lagos and Panama City, you should visit Lagos.', 'answer': 'Lagos', 'candidate': 'Panama City'}
{'statement': 'You are looking for a big city to visit. Between Ho Chi Minh City and Almaty, you should visit Ho Chi Minh City.', 'answer': 'Ho Chi Minh City', 'candidate': 'Almaty'}
{'statement': 'You are looking for a big city to visit. Between London and Garissa, you should visit London.', 'answer': 'London', 'candidate': 'Garissa'}
{'statement': 'You are looking for a big city to visit. Between Buenos Aires and Bratislava, you should visit Buenos Aires.', 'answer': 'Buenos Aires', 'candidate': 'Bratislava'}
{'statement': 'You are looking for a big city to visit. Between Guadalajara and Maputo, you should visit Guadalajara.', 'answer': 'Guadalajara', 'candidate': 'Maputo'}
{'statement': 'You are looking for a big city to visit. Between Alexandria and Nakhon Ratchasima, you should visit Alexandria.', 'answer': 'Alexandria', 'candidate': 'Nakhon Ratchasima'}
{'statement': 'You are looking for a big city to visit. Between Dar es Salaam and Tabora, you should visit Dar es Salaam.', 'answer': 'Dar es Salaam', 'candidate': 'Tabora'}
{'statement': 'You are looking for a big city to visit. Between Shanghai and Yakutsk, you should visit Shanghai.', 'answer': 'Shanghai', 'candidate': 'Yakutsk'}
{'statement': 'You are looking for a big city to visit. Between Riyadh and Palembang, you should visit Riyadh.', 'answer': 'Riyadh', 'candidate': 'Palembang'}
{'statement': 'You are looking for a big city to visit. Between Buenos Aires and Pittsburgh, you should visit Buenos Aires.', 'answer': 'Buenos Aires', 'candidate': 'Pittsburgh'}
{'statement': 'You are looking for a big city to visit. Between Phoenix and Nouakchott, you should visit Phoenix.', 'answer': 'Phoenix', 'candidate': 'Nouakchott'}
{'statement': 'You are looking for a big city to visit. Between Minneapolis and Albuquerque, you should visit Minneapolis.', 'answer': 'Minneapolis', 'candidate': 'Albuquerque'}
{'statement': 'You are looking for a big city to visit. Between Monterrey and Upington, you should visit Monterrey.', 'answer': 'Monterrey', 'candidate': 'Upington'}
{'statement': 'You are looking for a big city to visit. Between Baghdad and Malabo, you should visit Baghdad.', 'answer': 'Baghdad', 'candidate': 'Malabo'}
{'statement': 'You are looking for a big city to visit. Between London and Maputo, you should visit London.', 'answer': 'London', 'candidate': 'Maputo'}
{'statement': 'You are looking for a big city to visit. Between Surabaya and Lusaka, you should visit Surabaya.', 'answer': 'Surabaya', 'candidate': 'Lusaka'}
