{'statement': 'Someone is looking for a small city to visit. Between Guangzhou and Antofagasta, this person should visit Antofagasta.', 'answer': 'Antofagasta', 'candidate': 'Guangzhou'}
{'statement': 'Someone is looking for a small city to visit. Between Tashkent and Suwałki, this person should visit Suwałki.', 'answer': 'Suwałki', 'candidate': 'Tashkent'}
{'statement': 'Someone is looking for a small city to visit. Between Buenos Aires and Porto Alegre, this person should visit Porto Alegre.', 'answer': 'Porto Alegre', 'candidate': 'Buenos Aires'}
{'statement': 'Someone is looking for a small city to visit. Between Guadalajara and Lhasa, this person should visit Lhasa.', 'answer': 'Lhasa', 'candidate': 'Guadalajara'}
{'statement': 'Someone is looking for a small city to visit. Between Saint Petersburg and Upington, this person should visit Upington.', 'answer': 'Upington', 'candidate': 'Saint Petersburg'}
{'statement': 'Someone is looking for a small city to visit. Between Fukuoka and Ségou, this person should visit Ségou.', 'answer': 'Ségou', 'candidate': 'Fukuoka'}
{'statement': 'Someone is looking for a small city to visit. Between Los Angeles and Murmansk, this person should visit Murmansk.', 'answer': 'Murmansk', 'candidate': 'Los Angeles'}
{'statement': 'Someone is looking for a small city to visit. Between Harare and Entebbe, this person should visit Entebbe.', 'answer': 'Entebbe', 'candidate': 'Harare'}
{'statement': 'Someone is looking for a small city to visit. Between Kabul and Lviv, this person should visit Lviv.', 'answer': 'Lviv', 'candidate': 'Kabul'}
{'statement': 'Someone is looking for a small city to visit. Between Kuwait City and Canberra, this person should visit Canberra.', 'answer': 'Canberra', 'candidate': 'Kuwait City'}
{'statement': 'Someone is looking for a small city to visit. Between Jakarta and Changsha, this person should visit Changsha.', 'answer': 'Changsha', 'candidate': 'Jakarta'}
{'statement': 'Someone is looking for a small city to visit. Between Bogotá and Pretoria, this person should visit Pretoria.', 'answer': 'Pretoria', 'candidate': 'Bogotá'}
{'statement': 'Someone is looking for a small city to visit. Between Manila and Toamasina, this person should visit Toamasina.', 'answer': 'Toamasina', 'candidate': 'Manila'}
{'statement': 'Someone is looking for a small city to visit. Between Nairobi and Antofagasta, this person should visit Antofagasta.', 'answer': 'Antofagasta', 'candidate': 'Nairobi'}
