{'statement': 'Someone is looking for a big city to visit. Between Addis Ababa and Cotonou, this person should visit Addis Ababa.', 'answer': 'Addis Ababa', 'candidate': 'Cotonou'}
{'statement': 'Someone is looking for a big city to visit. Between Chicago and Baku, this person should visit Chicago.', 'answer': 'Chicago', 'candidate': 'Baku'}
{'statement': 'Someone is looking for a big city to visit. Between Medellín and Garoua, this person should visit Medellín.', 'answer': 'Medellín', 'candidate': 'Garoua'}
{'statement': 'Someone is looking for a big city to visit. Between Perth and Suwałki, this person should visit Perth.', 'answer': 'Perth', 'candidate': 'Suwałki'}
{'statement': 'Someone is looking for a big city to visit. Between Los Angeles and Lomé, this person should visit Los Angeles.', 'answer': 'Los Angeles', 'candidate': 'Lomé'}
{'statement': 'Someone is looking for a big city to visit. Between Houston and Bishkek, this person should visit Houston.', 'answer': 'Houston', 'candidate': 'Bishkek'}
{'statement': 'Someone is looking for a big city to visit. Between Paris and Cape Town, this person should visit Paris.', 'answer': 'Paris', 'candidate': 'Cape Town'}
{'statement': 'Someone is looking for a big city to visit. Between Melbourne and Ouahigouya, this person should visit Melbourne.', 'answer': 'Melbourne', 'candidate': 'Ouahigouya'}
{'statement': 'Someone is looking for a big city to visit. Between Guadalajara and Kuopio, this person should visit Guadalajara.', 'answer': 'Guadalajara', 'candidate': 'Kuopio'}
{'statement': 'Someone is looking for a big city to visit. Between Nairobi and Pretoria, this person should visit Nairobi.', 'answer': 'Nairobi', 'candidate': 'Pretoria'}
{'statement': 'Someone is looking for a big city to visit. Between London and Bujumbura, this person should visit London.', 'answer': 'London', 'candidate': 'Bujumbura'}
{'statement': 'Someone is looking for a big city to visit. Between Saint Petersburg and Novosibirsk, this person should visit Saint Petersburg.', 'answer': 'Saint Petersburg', 'candidate': 'Novosibirsk'}
{'statement': 'Someone is looking for a big city to visit. Between Luanda and Podgorica, this person should visit Luanda.', 'answer': 'Luanda', 'candidate': 'Podgorica'}
{'statement': 'Someone is looking for a big city to visit. Between Shanghai and Belgrade, this person should visit Shanghai.', 'answer': 'Shanghai', 'candidate': 'Belgrade'}
{'statement': 'Someone is looking for a big city to visit. Between Houston and Ouahigouya, this person should visit Houston.', 'answer': 'Houston', 'candidate': 'Ouahigouya'}
{'statement': 'Someone is looking for a big city to visit. Between Fukuoka and Nouadhibou, this person should visit Fukuoka.', 'answer': 'Fukuoka', 'candidate': 'Nouadhibou'}
{'statement': 'Someone is looking for a big city to visit. Between Sydney and Garoua, this person should visit Sydney.', 'answer': 'Sydney', 'candidate': 'Garoua'}
{'statement': 'Someone is looking for a big city to visit. Between Kabul and Garissa, this person should visit Kabul.', 'answer': 'Kabul', 'candidate': 'Garissa'}
{'statement': 'Someone is looking for a big city to visit. Between Mexico City and Changsha, this person should visit Mexico City.', 'answer': 'Mexico City', 'candidate': 'Changsha'}
{'statement': 'Someone is looking for a big city to visit. Between Kunming and Nur-Sultan, this person should visit Kunming.', 'answer': 'Kunming', 'candidate': 'Nur-Sultan'}
{'statement': 'Someone is looking for a big city to visit. Between Mumbai and Ouahigouya, this person should visit Mumbai.', 'answer': 'Mumbai', 'candidate': 'Ouahigouya'}
{'statement': 'Someone is looking for a big city to visit. Between Sydney and Kuopio, this person should visit Sydney.', 'answer': 'Sydney', 'candidate': 'Kuopio'}
{'statement': 'Someone is looking for a big city to visit. Between Ankara and Cotonou, this person should visit Ankara.', 'answer': 'Ankara', 'candidate': 'Cotonou'}
{'statement': 'Someone is looking for a big city to visit. Between Riyadh and Erbil, this person should visit Riyadh.', 'answer': 'Riyadh', 'candidate': 'Erbil'}
{'statement': 'Someone is looking for a big city to visit. Between Toronto and Makurdi, this person should visit Toronto.', 'answer': 'Toronto', 'candidate': 'Makurdi'}
{'statement': 'Someone is looking for a big city to visit. Between Los Angeles and Changsha, this person should visit Los Angeles.', 'answer': 'Los Angeles', 'candidate': 'Changsha'}
{'statement': 'Someone is looking for a big city to visit. Between London and Barranquilla, this person should visit London.', 'answer': 'London', 'candidate': 'Barranquilla'}
{'statement': 'Someone is looking for a big city to visit. Between Ankara and Skopje, this person should visit Ankara.', 'answer': 'Ankara', 'candidate': 'Skopje'}
{'statement': 'Someone is looking for a big city to visit. Between Karachi and Kano, this person should visit Karachi.', 'answer': 'Karachi', 'candidate': 'Kano'}
{'statement': 'Someone is looking for a big city to visit. Between Cairo and Sokoto, this person should visit Cairo.', 'answer': 'Cairo', 'candidate': 'Sokoto'}
{'statement': 'Someone is looking for a big city to visit. Between London and Pontianak, this person should visit London.', 'answer': 'London', 'candidate': 'Pontianak'}
{'statement': 'Someone is looking for a big city to visit. Between Los Angeles and Belgrade, this person should visit Los Angeles.', 'answer': 'Los Angeles', 'candidate': 'Belgrade'}
{'statement': 'Someone is looking for a big city to visit. Between Melbourne and Zagreb, this person should visit Melbourne.', 'answer': 'Melbourne', 'candidate': 'Zagreb'}
{'statement': 'Someone is looking for a big city to visit. Between Bogotá and Porto Alegre, this person should visit Bogotá.', 'answer': 'Bogotá', 'candidate': 'Porto Alegre'}
