{'statement': 'You are looking for a small city to visit. Between Chicago and Mandalay, you should visit Mandalay.', 'answer': 'Mandalay', 'candidate': 'Chicago'}
{'statement': 'You are looking for a small city to visit. Between Moscow and Minneapolis, you should visit Minneapolis.', 'answer': 'Minneapolis', 'candidate': 'Moscow'}
{'statement': 'You are looking for a small city to visit. Between Manila and Hamilton, you should visit Hamilton.', 'answer': 'Hamilton', 'candidate': 'Manila'}
{'statement': 'You are looking for a small city to visit. Between Kabul and Yinchuan, you should visit Yinchuan.', 'answer': 'Yinchuan', 'candidate': 'Kabul'}
{'statement': 'You are looking for a small city to visit. Between Riyadh and Goiânia, you should visit Goiânia.', 'answer': 'Goiânia', 'candidate': 'Riyadh'}
{'statement': 'You are looking for a small city to visit. Between Lahore and Belgrade, you should visit Belgrade.', 'answer': 'Belgrade', 'candidate': 'Lahore'}
{'statement': 'You are looking for a small city to visit. Between Jakarta and Ushuaia, you should visit Ushuaia.', 'answer': 'Ushuaia', 'candidate': 'Jakarta'}
{'statement': 'You are looking for a small city to visit. Between Bogotá and Piura, you should visit Piura.', 'answer': 'Piura', 'candidate': 'Bogotá'}
{'statement': 'You are looking for a small city to visit. Between Shanghai and Tauranga, you should visit Tauranga.', 'answer': 'Tauranga', 'candidate': 'Shanghai'}
{'statement': 'You are looking for a small city to visit. Between Bangkok and Minneapolis, you should visit Minneapolis.', 'answer': 'Minneapolis', 'candidate': 'Bangkok'}
{'statement': 'You are looking for a small city to visit. Between Berlin and Garoua, you should visit Garoua.', 'answer': 'Garoua', 'candidate': 'Berlin'}
{'statement': 'You are looking for a small city to visit. Between Johannesburg and Suwałki, you should visit Suwałki.', 'answer': 'Suwałki', 'candidate': 'Johannesburg'}
{'statement': 'You are looking for a small city to visit. Between Ankara and Toliara, you should visit Toliara.', 'answer': 'Toliara', 'candidate': 'Ankara'}
{'statement': 'You are looking for a small city to visit. Between Johannesburg and Kampala, you should visit Kampala.', 'answer': 'Kampala', 'candidate': 'Johannesburg'}
{'statement': 'You are looking for a small city to visit. Between Baghdad and Gabès, you should visit Gabès.', 'answer': 'Gabès', 'candidate': 'Baghdad'}
{'statement': 'You are looking for a small city to visit. Between Nairobi and Lake Havasu City, you should visit Lake Havasu City.', 'answer': 'Lake Havasu City', 'candidate': 'Nairobi'}
{'statement': 'You are looking for a small city to visit. Between Saint Petersburg and Algiers, you should visit Algiers.', 'answer': 'Algiers', 'candidate': 'Saint Petersburg'}
{'statement': 'You are looking for a small city to visit. Between Cairo and Makurdi, you should visit Makurdi.', 'answer': 'Makurdi', 'candidate': 'Cairo'}
{'statement': 'You are looking for a small city to visit. Between Bogotá and Denver, you should visit Denver.', 'answer': 'Denver', 'candidate': 'Bogotá'}
{'statement': 'You are looking for a small city to visit. Between Toronto and Sapporo, you should visit Sapporo.', 'answer': 'Sapporo', 'candidate': 'Toronto'}
{'statement': 'You are looking for a small city to visit. Between Toronto and Tampa, you should visit Tampa.', 'answer': 'Tampa', 'candidate': 'Toronto'}
{'statement': 'You are looking for a small city to visit. Between Buenos Aires and Toronto, you should visit Toronto.', 'answer': 'Toronto', 'candidate': 'Buenos Aires'}
{'statement': 'You are looking for a small city to visit. Between Riyadh and Omaha, you should visit Omaha.', 'answer': 'Omaha', 'candidate': 'Riyadh'}
{'statement': 'You are looking for a small city to visit. Between Alexandria and Makassar, you should visit Makassar.', 'answer': 'Makassar', 'candidate': 'Alexandria'}
{'statement': 'You are looking for a small city to visit. Between Douala and Boise, you should visit Boise.', 'answer': 'Boise', 'candidate': 'Douala'}
{'statement': 'You are looking for a small city to visit. Between Mexico City and Tamanrasset, you should visit Tamanrasset.', 'answer': 'Tamanrasset', 'candidate': 'Mexico City'}
{'statement': 'You are looking for a small city to visit. Between Lahore and Valencia, you should visit Valencia.', 'answer': 'Valencia', 'candidate': 'Lahore'}
{'statement': 'You are looking for a small city to visit. Between Ho Chi Minh City and Napier, you should visit Napier.', 'answer': 'Napier', 'candidate': 'Ho Chi Minh City'}
{'statement': 'You are looking for a small city to visit. Between Moscow and Houston, you should visit Houston.', 'answer': 'Houston', 'candidate': 'Moscow'}
{'statement': 'You are looking for a small city to visit. Between Perth and Palmerston North, you should visit Palmerston North.', 'answer': 'Palmerston North', 'candidate': 'Perth'}
{'statement': 'You are looking for a small city to visit. Between Ankara and Tauranga, you should visit Tauranga.', 'answer': 'Tauranga', 'candidate': 'Ankara'}
{'statement': 'You are looking for a small city to visit. Between Guangzhou and Piura, you should visit Piura.', 'answer': 'Piura', 'candidate': 'Guangzhou'}
{'statement': 'You are looking for a small city to visit. Between Nairobi and Port-Gentil, you should visit Port-Gentil.', 'answer': 'Port-Gentil', 'candidate': 'Nairobi'}
{'statement': 'You are looking for a small city to visit. Between Nairobi and Río Gallegos, you should visit Río Gallegos.', 'answer': 'Río Gallegos', 'candidate': 'Nairobi'}
{'statement': 'You are looking for a small city to visit. Between Alexandria and Bangui, you should visit Bangui.', 'answer': 'Bangui', 'candidate': 'Alexandria'}
{'statement': 'You are looking for a small city to visit. Between Melbourne and Ségou, you should visit Ségou.', 'answer': 'Ségou', 'candidate': 'Melbourne'}
{'statement': 'You are looking for a small city to visit. Between Denver and Garissa, you should visit Garissa.', 'answer': 'Garissa', 'candidate': 'Denver'}
{'statement': 'You are looking for a small city to visit. Between Toronto and Villahermosa, you should visit Villahermosa.', 'answer': 'Villahermosa', 'candidate': 'Toronto'}
{'statement': 'You are looking for a small city to visit. Between Ürümqi and San Juan, you should visit San Juan.', 'answer': 'San Juan', 'candidate': 'Ürümqi'}
{'statement': 'You are looking for a small city to visit. Between Santiago and Sacramento, you should visit Sacramento.', 'answer': 'Sacramento', 'candidate': 'Santiago'}
{'statement': 'You are looking for a small city to visit. Between Surabaya and Zagreb, you should visit Zagreb.', 'answer': 'Zagreb', 'candidate': 'Surabaya'}
{'statement': 'You are looking for a small city to visit. Between Hanoi and Pontianak, you should visit Pontianak.', 'answer': 'Pontianak', 'candidate': 'Hanoi'}
{'statement': 'You are looking for a small city to visit. Between Saint Petersburg and Reykjavík, you should visit Reykjavík.', 'answer': 'Reykjavík', 'candidate': 'Saint Petersburg'}
{'statement': 'You are looking for a small city to visit. Between Denver and Port-Gentil, you should visit Port-Gentil.', 'answer': 'Port-Gentil', 'candidate': 'Denver'}
{'statement': 'You are looking for a small city to visit. Between Brasília and Suwałki, you should visit Suwałki.', 'answer': 'Suwałki', 'candidate': 'Brasília'}
{'statement': 'You are looking for a small city to visit. Between Riyadh and Milan, you should visit Milan.', 'answer': 'Milan', 'candidate': 'Riyadh'}
