{'statement': 'Between Mumbai and Florianópolis, the city with a smaller population is Florianópolis.', 'answer': 'Florianópolis', 'candidate': 'Mumbai'}
{'statement': 'Between Lagos and Auckland, the city with a smaller population is Auckland.', 'answer': 'Auckland', 'candidate': 'Lagos'}
{'statement': 'Between Cairo and Garoua, the city with a smaller population is Garoua.', 'answer': 'Garoua', 'candidate': 'Cairo'}
{'statement': 'Between Nairobi and Garissa, the city with a smaller population is Garissa.', 'answer': 'Garissa', 'candidate': 'Nairobi'}
{'statement': 'Between Los Angeles and Denver, the city with a smaller population is Denver.', 'answer': 'Denver', 'candidate': 'Los Angeles'}
{'statement': 'Between Ankara and Mombasa, the city with a smaller population is Mombasa.', 'answer': 'Mombasa', 'candidate': 'Ankara'}
{'statement': 'Between Guangzhou and Monterrey, the city with a smaller population is Monterrey.', 'answer': 'Monterrey', 'candidate': 'Guangzhou'}
{'statement': 'Between Guadalajara and Florianópolis, the city with a smaller population is Florianópolis.', 'answer': 'Florianópolis', 'candidate': 'Guadalajara'}
{'statement': 'Between Tampa and La Ceiba, the city with a smaller population is La Ceiba.', 'answer': 'La Ceiba', 'candidate': 'Tampa'}
{'statement': 'Between Guadalajara and Beirut, the city with a smaller population is Beirut.', 'answer': 'Beirut', 'candidate': 'Guadalajara'}
{'statement': 'Between Paris and Baku, the city with a smaller population is Baku.', 'answer': 'Baku', 'candidate': 'Paris'}
{'statement': 'Between Tampa and Aden, the city with a smaller population is Aden.', 'answer': 'Aden', 'candidate': 'Tampa'}
{'statement': 'Between Medellín and Saskatoon, the city with a smaller population is Saskatoon.', 'answer': 'Saskatoon', 'candidate': 'Medellín'}
{'statement': 'Between Ankara and Albuquerque, the city with a smaller population is Albuquerque.', 'answer': 'Albuquerque', 'candidate': 'Ankara'}
{'statement': 'Between Tampa and Malabo, the city with a smaller population is Malabo.', 'answer': 'Malabo', 'candidate': 'Tampa'}
{'statement': 'Between Beijing and Parakou, the city with a smaller population is Parakou.', 'answer': 'Parakou', 'candidate': 'Beijing'}
{'statement': 'Between Yaoundé and Tamanrasset, the city with a smaller population is Tamanrasset.', 'answer': 'Tamanrasset', 'candidate': 'Yaoundé'}
{'statement': 'Between Paris and El Paso, the city with a smaller population is El Paso.', 'answer': 'El Paso', 'candidate': 'Paris'}
{'statement': 'Between Melbourne and Gabès, the city with a smaller population is Gabès.', 'answer': 'Gabès', 'candidate': 'Melbourne'}
{'statement': 'Between Addis Ababa and Ségou, the city with a smaller population is Ségou.', 'answer': 'Ségou', 'candidate': 'Addis Ababa'}
{'statement': 'Between Los Angeles and Honolulu, the city with a smaller population is Honolulu.', 'answer': 'Honolulu', 'candidate': 'Los Angeles'}
{'statement': 'Between Lima and Fairbanks, the city with a smaller population is Fairbanks.', 'answer': 'Fairbanks', 'candidate': 'Lima'}
{'statement': 'Between Guadalajara and Ürümqi, the city with a smaller population is Ürümqi.', 'answer': 'Ürümqi', 'candidate': 'Guadalajara'}
{'statement': 'Between Mumbai and Erbil, the city with a smaller population is Erbil.', 'answer': 'Erbil', 'candidate': 'Mumbai'}
{'statement': 'Between Johannesburg and Hat Yai, the city with a smaller population is Hat Yai.', 'answer': 'Hat Yai', 'candidate': 'Johannesburg'}
{'statement': 'Between Algiers and Mandalay, the city with a smaller population is Mandalay.', 'answer': 'Mandalay', 'candidate': 'Algiers'}
{'statement': 'Between Mumbai and Garissa, the city with a smaller population is Garissa.', 'answer': 'Garissa', 'candidate': 'Mumbai'}
{'statement': 'Between Los Angeles and Reykjavík, the city with a smaller population is Reykjavík.', 'answer': 'Reykjavík', 'candidate': 'Los Angeles'}
{'statement': 'Between Ho Chi Minh City and Lisbon, the city with a smaller population is Lisbon.', 'answer': 'Lisbon', 'candidate': 'Ho Chi Minh City'}
{'statement': 'Between Kuwait City and Zagreb, the city with a smaller population is Zagreb.', 'answer': 'Zagreb', 'candidate': 'Kuwait City'}
{'statement': 'Between Melbourne and Lusaka, the city with a smaller population is Lusaka.', 'answer': 'Lusaka', 'candidate': 'Melbourne'}
{'statement': 'Between Bangkok and Toliara, the city with a smaller population is Toliara.', 'answer': 'Toliara', 'candidate': 'Bangkok'}
{'statement': 'Between Hanoi and Calgary, the city with a smaller population is Calgary.', 'answer': 'Calgary', 'candidate': 'Hanoi'}
{'statement': 'Between Guangzhou and Sacramento, the city with a smaller population is Sacramento.', 'answer': 'Sacramento', 'candidate': 'Guangzhou'}
{'statement': 'Between Mexico City and Makassar, the city with a smaller population is Makassar.', 'answer': 'Makassar', 'candidate': 'Mexico City'}
{'statement': 'Between Cairo and Córdoba, the city with a smaller population is Córdoba.', 'answer': 'Córdoba', 'candidate': 'Cairo'}
{'statement': 'Between Santiago and Halifax, the city with a smaller population is Halifax.', 'answer': 'Halifax', 'candidate': 'Santiago'}
{'statement': 'Between Shanghai and San Antonio, the city with a smaller population is San Antonio.', 'answer': 'San Antonio', 'candidate': 'Shanghai'}
{'statement': 'Between Sydney and San José, the city with a smaller population is San José.', 'answer': 'San José', 'candidate': 'Sydney'}
{'statement': 'Between Kabul and Ljubljana, the city with a smaller population is Ljubljana.', 'answer': 'Ljubljana', 'candidate': 'Kabul'}
{'statement': 'Between London and Barranquilla, the city with a smaller population is Barranquilla.', 'answer': 'Barranquilla', 'candidate': 'London'}
