{'statement': 'Between Chicago and Mandalay, the smaller city is Mandalay.', 'answer': 'Mandalay', 'candidate': 'Chicago'}
{'statement': 'Between Moscow and Minneapolis, the smaller city is Minneapolis.', 'answer': 'Minneapolis', 'candidate': 'Moscow'}
{'statement': 'Between Manila and Hamilton, the smaller city is Hamilton.', 'answer': 'Hamilton', 'candidate': 'Manila'}
{'statement': 'Between Kabul and Yinchuan, the smaller city is Yinchuan.', 'answer': 'Yinchuan', 'candidate': 'Kabul'}
{'statement': 'Between Riyadh and Goiânia, the smaller city is Goiânia.', 'answer': 'Goiânia', 'candidate': 'Riyadh'}
{'statement': 'Between Lahore and Belgrade, the smaller city is Belgrade.', 'answer': 'Belgrade', 'candidate': 'Lahore'}
{'statement': 'Between Jakarta and Ushuaia, the smaller city is Ushuaia.', 'answer': 'Ushuaia', 'candidate': 'Jakarta'}
{'statement': 'Between Bogotá and Piura, the smaller city is Piura.', 'answer': 'Piura', 'candidate': 'Bogotá'}
{'statement': 'Between Shanghai and Tauranga, the smaller city is Tauranga.', 'answer': 'Tauranga', 'candidate': 'Shanghai'}
{'statement': 'Between Bangkok and Minneapolis, the smaller city is Minneapolis.', 'answer': 'Minneapolis', 'candidate': 'Bangkok'}
{'statement': 'Between Berlin and Garoua, the smaller city is Garoua.', 'answer': 'Garoua', 'candidate': 'Berlin'}
{'statement': 'Between Johannesburg and Suwałki, the smaller city is Suwałki.', 'answer': 'Suwałki', 'candidate': 'Johannesburg'}
{'statement': 'Between Ankara and Toliara, the smaller city is Toliara.', 'answer': 'Toliara', 'candidate': 'Ankara'}
{'statement': 'Between Johannesburg and Kampala, the smaller city is Kampala.', 'answer': 'Kampala', 'candidate': 'Johannesburg'}
{'statement': 'Between Baghdad and Gabès, the smaller city is Gabès.', 'answer': 'Gabès', 'candidate': 'Baghdad'}
{'statement': 'Between Nairobi and Lake Havasu City, the smaller city is Lake Havasu City.', 'answer': 'Lake Havasu City', 'candidate': 'Nairobi'}
{'statement': 'Between Saint Petersburg and Algiers, the smaller city is Algiers.', 'answer': 'Algiers', 'candidate': 'Saint Petersburg'}
{'statement': 'Between Cairo and Makurdi, the smaller city is Makurdi.', 'answer': 'Makurdi', 'candidate': 'Cairo'}
{'statement': 'Between Bogotá and Denver, the smaller city is Denver.', 'answer': 'Denver', 'candidate': 'Bogotá'}
{'statement': 'Between Toronto and Sapporo, the smaller city is Sapporo.', 'answer': 'Sapporo', 'candidate': 'Toronto'}
{'statement': 'Between Toronto and Tampa, the smaller city is Tampa.', 'answer': 'Tampa', 'candidate': 'Toronto'}
{'statement': 'Between Buenos Aires and Toronto, the smaller city is Toronto.', 'answer': 'Toronto', 'candidate': 'Buenos Aires'}
{'statement': 'Between Riyadh and Omaha, the smaller city is Omaha.', 'answer': 'Omaha', 'candidate': 'Riyadh'}
{'statement': 'Between Alexandria and Makassar, the smaller city is Makassar.', 'answer': 'Makassar', 'candidate': 'Alexandria'}
{'statement': 'Between Douala and Boise, the smaller city is Boise.', 'answer': 'Boise', 'candidate': 'Douala'}
{'statement': 'Between Mexico City and Tamanrasset, the smaller city is Tamanrasset.', 'answer': 'Tamanrasset', 'candidate': 'Mexico City'}
{'statement': 'Between Lahore and Valencia, the smaller city is Valencia.', 'answer': 'Valencia', 'candidate': 'Lahore'}
{'statement': 'Between Ho Chi Minh City and Napier, the smaller city is Napier.', 'answer': 'Napier', 'candidate': 'Ho Chi Minh City'}
{'statement': 'Between Moscow and Houston, the smaller city is Houston.', 'answer': 'Houston', 'candidate': 'Moscow'}
{'statement': 'Between Perth and Palmerston North, the smaller city is Palmerston North.', 'answer': 'Palmerston North', 'candidate': 'Perth'}
{'statement': 'Between Ankara and Tauranga, the smaller city is Tauranga.', 'answer': 'Tauranga', 'candidate': 'Ankara'}
{'statement': 'Between Guangzhou and Piura, the smaller city is Piura.', 'answer': 'Piura', 'candidate': 'Guangzhou'}
{'statement': 'Between Nairobi and Port-Gentil, the smaller city is Port-Gentil.', 'answer': 'Port-Gentil', 'candidate': 'Nairobi'}
{'statement': 'Between Nairobi and Río Gallegos, the smaller city is Río Gallegos.', 'answer': 'Río Gallegos', 'candidate': 'Nairobi'}
{'statement': 'Between Alexandria and Bangui, the smaller city is Bangui.', 'answer': 'Bangui', 'candidate': 'Alexandria'}
{'statement': 'Between Melbourne and Ségou, the smaller city is Ségou.', 'answer': 'Ségou', 'candidate': 'Melbourne'}
{'statement': 'Between Denver and Garissa, the smaller city is Garissa.', 'answer': 'Garissa', 'candidate': 'Denver'}
{'statement': 'Between Toronto and Villahermosa, the smaller city is Villahermosa.', 'answer': 'Villahermosa', 'candidate': 'Toronto'}
