{'statement': 'Between Manila and Mexicali, the bigger city is Manila.', 'answer': 'Manila', 'candidate': 'Mexicali'}
{'statement': 'Between Buenos Aires and Zürich, the bigger city is Buenos Aires.', 'answer': 'Buenos Aires', 'candidate': 'Zürich'}
{'statement': 'Between Saint Petersburg and Barranquilla, the bigger city is Saint Petersburg.', 'answer': 'Saint Petersburg', 'candidate': 'Barranquilla'}
{'statement': 'Between Luanda and Bratislava, the bigger city is Luanda.', 'answer': 'Luanda', 'candidate': 'Bratislava'}
{'statement': 'Between Los Angeles and Nairobi, the bigger city is Los Angeles.', 'answer': 'Los Angeles', 'candidate': 'Nairobi'}
{'statement': 'Between Ürümqi and Garissa, the bigger city is Ürümqi.', 'answer': 'Ürümqi', 'candidate': 'Garissa'}
{'statement': 'Between Ho Chi Minh City and Santiago, the bigger city is Ho Chi Minh City.', 'answer': 'Ho Chi Minh City', 'candidate': 'Santiago'}
{'statement': 'Between San Diego and Gabès, the bigger city is San Diego.', 'answer': 'San Diego', 'candidate': 'Gabès'}
{'statement': 'Between Lahore and Mandalay, the bigger city is Lahore.', 'answer': 'Lahore', 'candidate': 'Mandalay'}
{'statement': 'Between Baghdad and Fairbanks, the bigger city is Baghdad.', 'answer': 'Baghdad', 'candidate': 'Fairbanks'}
{'statement': 'Between Mexico City and Bangkok, the bigger city is Mexico City.', 'answer': 'Mexico City', 'candidate': 'Bangkok'}
{'statement': 'Between Mumbai and Mexicali, the bigger city is Mumbai.', 'answer': 'Mumbai', 'candidate': 'Mexicali'}
{'statement': 'Between Ankara and Kuopio, the bigger city is Ankara.', 'answer': 'Ankara', 'candidate': 'Kuopio'}
{'statement': 'Between Brasília and Garoua, the bigger city is Brasília.', 'answer': 'Brasília', 'candidate': 'Garoua'}
{'statement': 'Between Lima and Ankara, the bigger city is Lima.', 'answer': 'Lima', 'candidate': 'Ankara'}
{'statement': 'Between Johannesburg and Paramaribo, the bigger city is Johannesburg.', 'answer': 'Johannesburg', 'candidate': 'Paramaribo'}
{'statement': 'Between Douala and Ljubljana, the bigger city is Douala.', 'answer': 'Douala', 'candidate': 'Ljubljana'}
{'statement': 'Between Alexandria and Malabo, the bigger city is Alexandria.', 'answer': 'Alexandria', 'candidate': 'Malabo'}
{'statement': 'Between Ho Chi Minh City and Anchorage, the bigger city is Ho Chi Minh City.', 'answer': 'Ho Chi Minh City', 'candidate': 'Anchorage'}
{'statement': 'Between San Diego and Tucson, the bigger city is San Diego.', 'answer': 'San Diego', 'candidate': 'Tucson'}
{'statement': 'Between Paris and Berlin, the bigger city is Paris.', 'answer': 'Paris', 'candidate': 'Berlin'}
{'statement': 'Between Toronto and Panama City, the bigger city is Toronto.', 'answer': 'Toronto', 'candidate': 'Panama City'}
{'statement': 'Between Paris and Milwaukee, the bigger city is Paris.', 'answer': 'Paris', 'candidate': 'Milwaukee'}
