{'statement': "You don't like hot weather. Between Barranquilla and Sacramento, you should visit Sacramento.", 'answer': 'Sacramento', 'candidate': 'Barranquilla'}
{'statement': "You don't like hot weather. Between Suva and Minneapolis, you should visit Minneapolis.", 'answer': 'Minneapolis', 'candidate': 'Suva'}
{'statement': "You don't like hot weather. Between Port Sudan and Buenos Aires, you should visit Buenos Aires.", 'answer': 'Buenos Aires', 'candidate': 'Port Sudan'}
{'statement': "You don't like hot weather. Between Wau and Bratislava, you should visit Bratislava.", 'answer': 'Bratislava', 'candidate': 'Wau'}
{'statement': "You don't like hot weather. Between Ho Chi Minh City and Ushuaia, you should visit Ushuaia.", 'answer': 'Ushuaia', 'candidate': 'Ho Chi Minh City'}
{'statement': "You don't like hot weather. Between Managua and Napier, you should visit Napier.", 'answer': 'Napier', 'candidate': 'Managua'}
{'statement': "You don't like hot weather. Between Bamako and Milwaukee, you should visit Milwaukee.", 'answer': 'Milwaukee', 'candidate': 'Bamako'}
{'statement': "You don't like hot weather. Between Shanghai and Ottawa, you should visit Ottawa.", 'answer': 'Ottawa', 'candidate': 'Shanghai'}
{'statement': "You don't like hot weather. Between Willemstad and Vienna, you should visit Vienna.", 'answer': 'Vienna', 'candidate': 'Willemstad'}
{'statement': "You don't like hot weather. Between Bujumbura and Ljubljana, you should visit Ljubljana.", 'answer': 'Ljubljana', 'candidate': 'Bujumbura'}
{'statement': "You don't like hot weather. Between Guangzhou and Almaty, you should visit Almaty.", 'answer': 'Almaty', 'candidate': 'Guangzhou'}
{'statement': "You don't like hot weather. Between Porto Alegre and Copenhagen, you should visit Copenhagen.", 'answer': 'Copenhagen', 'candidate': 'Porto Alegre'}
{'statement': "You don't like hot weather. Between Luanda and Ürümqi, you should visit Ürümqi.", 'answer': 'Ürümqi', 'candidate': 'Luanda'}
{'statement': "You don't like hot weather. Between San Juan and Addis Ababa, you should visit Addis Ababa.", 'answer': 'Addis Ababa', 'candidate': 'San Juan'}
{'statement': "You don't like hot weather. Between Valencia and Saint Petersburg, you should visit Saint Petersburg.", 'answer': 'Saint Petersburg', 'candidate': 'Valencia'}
{'statement': "You don't like hot weather. Between Wau and Anchorage, you should visit Anchorage.", 'answer': 'Anchorage', 'candidate': 'Wau'}
{'statement': "You don't like hot weather. Between Mombasa and Toluca, you should visit Toluca.", 'answer': 'Toluca', 'candidate': 'Mombasa'}
{'statement': "You don't like hot weather. Between Dodoma and Saskatoon, you should visit Saskatoon.", 'answer': 'Saskatoon', 'candidate': 'Dodoma'}
{'statement': "You don't like hot weather. Between Bujumbura and Indianapolis, you should visit Indianapolis.", 'answer': 'Indianapolis', 'candidate': 'Bujumbura'}
{'statement': "You don't like hot weather. Between Lusaka and Zürich, you should visit Zürich.", 'answer': 'Zürich', 'candidate': 'Lusaka'}
{'statement': "You don't like hot weather. Between Honolulu and Rome, you should visit Rome.", 'answer': 'Rome', 'candidate': 'Honolulu'}
{'statement': "You don't like hot weather. Between Mumbai and Cape Town, you should visit Cape Town.", 'answer': 'Cape Town', 'candidate': 'Mumbai'}
{'statement': "You don't like hot weather. Between Kunming and Erzurum, you should visit Erzurum.", 'answer': 'Erzurum', 'candidate': 'Kunming'}
{'statement': "You don't like hot weather. Between Perth and Nur-Sultan, you should visit Nur-Sultan.", 'answer': 'Nur-Sultan', 'candidate': 'Perth'}
{'statement': "You don't like hot weather. Between Barranquilla and Yakutsk, you should visit Yakutsk.", 'answer': 'Yakutsk', 'candidate': 'Barranquilla'}
{'statement': "You don't like hot weather. Between Lusaka and Kuopio, you should visit Kuopio.", 'answer': 'Kuopio', 'candidate': 'Lusaka'}
{'statement': "You don't like hot weather. Between Managua and Reykjavík, you should visit Reykjavík.", 'answer': 'Reykjavík', 'candidate': 'Managua'}
