{'statement': 'Between Kabul and Changsha, the city with a larger population is Kabul.', 'answer': 'Kabul', 'candidate': 'Changsha'}
{'statement': 'Between Berlin and Managua, the city with a larger population is Berlin.', 'answer': 'Berlin', 'candidate': 'Managua'}
{'statement': 'Between Kuwait City and Gabès, the city with a larger population is Kuwait City.', 'answer': 'Kuwait City', 'candidate': 'Gabès'}
{'statement': 'Between Buenos Aires and Cayenne, the city with a larger population is Buenos Aires.', 'answer': 'Buenos Aires', 'candidate': 'Cayenne'}
{'statement': 'Between Canberra and Ürümqi, the city with a larger population is Ürümqi.', 'answer': 'Ürümqi', 'candidate': 'Canberra'}
{'statement': 'Between Dublin and Paris, the city with a larger population is Paris.', 'answer': 'Paris', 'candidate': 'Dublin'}
{'statement': 'Between Algiers and Niamey, the city with a larger population is Algiers.', 'answer': 'Algiers', 'candidate': 'Niamey'}
{'statement': 'Between Guadalajara and Lima, the city with a larger population is Lima.', 'answer': 'Lima', 'candidate': 'Guadalajara'}
{'statement': 'Between Shanghai and Cairo, the city with a larger population is Shanghai.', 'answer': 'Shanghai', 'candidate': 'Cairo'}
{'statement': 'Between Honolulu and Guangzhou, the city with a larger population is Guangzhou.', 'answer': 'Guangzhou', 'candidate': 'Honolulu'}
{'statement': 'Between Johannesburg and Santiago, the city with a larger population is Santiago.', 'answer': 'Santiago', 'candidate': 'Johannesburg'}
{'statement': 'Between Damascus and Chicago, the city with a larger population is Chicago.', 'answer': 'Chicago', 'candidate': 'Damascus'}
{'statement': 'Between Ürümqi and Saint Petersburg, the city with a larger population is Saint Petersburg.', 'answer': 'Saint Petersburg', 'candidate': 'Ürümqi'}
{'statement': 'Between Denpasar and Kuwait City, the city with a larger population is Kuwait City.', 'answer': 'Kuwait City', 'candidate': 'Denpasar'}
{'statement': 'Between Houston and Brussels, the city with a larger population is Houston.', 'answer': 'Houston', 'candidate': 'Brussels'}
{'statement': 'Between Hanoi and Mendoza, the city with a larger population is Hanoi.', 'answer': 'Hanoi', 'candidate': 'Mendoza'}
{'statement': 'Between Viedma and Tampa, the city with a larger population is Tampa.', 'answer': 'Tampa', 'candidate': 'Viedma'}
{'statement': 'Between Berlin and Port Sudan, the city with a larger population is Berlin.', 'answer': 'Berlin', 'candidate': 'Port Sudan'}
{'statement': 'Between Chicago and Djibouti, the city with a larger population is Chicago.', 'answer': 'Chicago', 'candidate': 'Djibouti'}
{'statement': 'Between Douala and Shanghai, the city with a larger population is Shanghai.', 'answer': 'Shanghai', 'candidate': 'Douala'}
{'statement': 'Between Berlin and Luanda, the city with a larger population is Luanda.', 'answer': 'Luanda', 'candidate': 'Berlin'}
{'statement': 'Between Melbourne and La Paz, the city with a larger population is Melbourne.', 'answer': 'Melbourne', 'candidate': 'La Paz'}
{'statement': 'Between Lviv and Manila, the city with a larger population is Manila.', 'answer': 'Manila', 'candidate': 'Lviv'}
{'statement': 'Between Barranquilla and Luanda, the city with a larger population is Luanda.', 'answer': 'Luanda', 'candidate': 'Barranquilla'}
{'statement': 'Between Mexicali and Jakarta, the city with a larger population is Jakarta.', 'answer': 'Jakarta', 'candidate': 'Mexicali'}
{'statement': 'Between Hamilton and Tampa, the city with a larger population is Tampa.', 'answer': 'Tampa', 'candidate': 'Hamilton'}
{'statement': 'Between Mumbai and Sokoto, the city with a larger population is Mumbai.', 'answer': 'Mumbai', 'candidate': 'Sokoto'}
{'statement': 'Between Hobart and Ankara, the city with a larger population is Ankara.', 'answer': 'Ankara', 'candidate': 'Hobart'}
{'statement': 'Between Mumbai and Monterrey, the city with a larger population is Mumbai.', 'answer': 'Mumbai', 'candidate': 'Monterrey'}
{'statement': 'Between Tampa and Djibouti, the city with a larger population is Tampa.', 'answer': 'Tampa', 'candidate': 'Djibouti'}
{'statement': 'Between Mombasa and Lahore, the city with a larger population is Lahore.', 'answer': 'Lahore', 'candidate': 'Mombasa'}
{'statement': 'Between Denver and Bujumbura, the city with a larger population is Denver.', 'answer': 'Denver', 'candidate': 'Bujumbura'}
{'statement': 'Between Luanda and Skopje, the city with a larger population is Luanda.', 'answer': 'Luanda', 'candidate': 'Skopje'}
{'statement': 'Between Alexandria and Yaoundé, the city with a larger population is Alexandria.', 'answer': 'Alexandria', 'candidate': 'Yaoundé'}
{'statement': 'Between Manila and Bangui, the city with a larger population is Manila.', 'answer': 'Manila', 'candidate': 'Bangui'}
{'statement': 'Between Minneapolis and Bogotá, the city with a larger population is Bogotá.', 'answer': 'Bogotá', 'candidate': 'Minneapolis'}
{'statement': 'Between Guadalajara and Kano, the city with a larger population is Guadalajara.', 'answer': 'Guadalajara', 'candidate': 'Kano'}
{'statement': 'Between Thiès and Luanda, the city with a larger population is Luanda.', 'answer': 'Luanda', 'candidate': 'Thiès'}
{'statement': 'Between Nairobi and Denpasar, the city with a larger population is Nairobi.', 'answer': 'Nairobi', 'candidate': 'Denpasar'}
{'statement': 'Between Podgorica and Mumbai, the city with a larger population is Mumbai.', 'answer': 'Mumbai', 'candidate': 'Podgorica'}
{'statement': 'Between Jakarta and Honolulu, the city with a larger population is Jakarta.', 'answer': 'Jakarta', 'candidate': 'Honolulu'}
{'statement': 'Between Muscat and Paris, the city with a larger population is Paris.', 'answer': 'Paris', 'candidate': 'Muscat'}
{'statement': 'Between Nakhon Ratchasima and Baghdad, the city with a larger population is Baghdad.', 'answer': 'Baghdad', 'candidate': 'Nakhon Ratchasima'}
{'statement': 'Between Oslo and Alexandria, the city with a larger population is Alexandria.', 'answer': 'Alexandria', 'candidate': 'Oslo'}
{'statement': 'Between Ouahigouya and Kabul, the city with a larger population is Kabul.', 'answer': 'Kabul', 'candidate': 'Ouahigouya'}
{'statement': 'Between Paris and Tauranga, the city with a larger population is Paris.', 'answer': 'Paris', 'candidate': 'Tauranga'}
