{'statement': 'Between Darwin and Fukuoka, the city with lower average temperature is Fukuoka.', 'answer': 'Fukuoka', 'candidate': 'Darwin'}
{'statement': 'Between Viedma and Saskatoon, the city with lower average temperature is Saskatoon.', 'answer': 'Saskatoon', 'candidate': 'Viedma'}
{'statement': 'Between Napier and Kuopio, the city with lower average temperature is Kuopio.', 'answer': 'Kuopio', 'candidate': 'Napier'}
{'statement': 'Between Panama City and Mendoza, the city with lower average temperature is Mendoza.', 'answer': 'Mendoza', 'candidate': 'Panama City'}
{'statement': 'Between San Juan and Sacramento, the city with lower average temperature is Sacramento.', 'answer': 'Sacramento', 'candidate': 'San Juan'}
{'statement': 'Between Phnom Penh and Napier, the city with lower average temperature is Napier.', 'answer': 'Napier', 'candidate': 'Phnom Penh'}
{'statement': 'Between Cabo San Lucas and Saint Petersburg, the city with lower average temperature is Saint Petersburg.', 'answer': 'Saint Petersburg', 'candidate': 'Cabo San Lucas'}
{'statement': 'Between Abéché and Los Angeles, the city with lower average temperature is Los Angeles.', 'answer': 'Los Angeles', 'candidate': 'Abéché'}
{'statement': 'Between Perth and Anchorage, the city with lower average temperature is Anchorage.', 'answer': 'Anchorage', 'candidate': 'Perth'}
{'statement': 'Between Kuwait City and Indianapolis, the city with lower average temperature is Indianapolis.', 'answer': 'Indianapolis', 'candidate': 'Kuwait City'}
{'statement': 'Between Caracas and Kuopio, the city with lower average temperature is Kuopio.', 'answer': 'Kuopio', 'candidate': 'Caracas'}
{'statement': 'Between Hanoi and Wellington, the city with lower average temperature is Wellington.', 'answer': 'Wellington', 'candidate': 'Hanoi'}
{'statement': 'Between Pretoria and Minneapolis, the city with lower average temperature is Minneapolis.', 'answer': 'Minneapolis', 'candidate': 'Pretoria'}
{'statement': 'Between Barranquilla and Calgary, the city with lower average temperature is Calgary.', 'answer': 'Calgary', 'candidate': 'Barranquilla'}
{'statement': 'Between Piura and Brussels, the city with lower average temperature is Brussels.', 'answer': 'Brussels', 'candidate': 'Piura'}
{'statement': 'Between Karachi and Melbourne, the city with lower average temperature is Melbourne.', 'answer': 'Melbourne', 'candidate': 'Karachi'}
{'statement': 'Between Yaoundé and Minsk, the city with lower average temperature is Minsk.', 'answer': 'Minsk', 'candidate': 'Yaoundé'}
{'statement': 'Between Mumbai and Lyon, the city with lower average temperature is Lyon.', 'answer': 'Lyon', 'candidate': 'Mumbai'}
{'statement': 'Between Hat Yai and Belgrade, the city with lower average temperature is Belgrade.', 'answer': 'Belgrade', 'candidate': 'Hat Yai'}
{'statement': 'Between Garoua and Omaha, the city with lower average temperature is Omaha.', 'answer': 'Omaha', 'candidate': 'Garoua'}
{'statement': 'Between Bangui and Podgorica, the city with lower average temperature is Podgorica.', 'answer': 'Podgorica', 'candidate': 'Bangui'}
{'statement': 'Between Caracas and Ushuaia, the city with lower average temperature is Ushuaia.', 'answer': 'Ushuaia', 'candidate': 'Caracas'}
{'statement': 'Between Brasília and Zürich, the city with lower average temperature is Zürich.', 'answer': 'Zürich', 'candidate': 'Brasília'}
{'statement': 'Between Douala and Johannesburg, the city with lower average temperature is Johannesburg.', 'answer': 'Johannesburg', 'candidate': 'Douala'}
{'statement': 'Between Paramaribo and Ljubljana, the city with lower average temperature is Ljubljana.', 'answer': 'Ljubljana', 'candidate': 'Paramaribo'}
{'statement': 'Between Pittsburgh and Murmansk, the city with lower average temperature is Murmansk.', 'answer': 'Murmansk', 'candidate': 'Pittsburgh'}
{'statement': 'Between Nouakchott and Chicago, the city with lower average temperature is Chicago.', 'answer': 'Chicago', 'candidate': 'Nouakchott'}
{'statement': 'Between Neuquén and Reykjavík, the city with lower average temperature is Reykjavík.', 'answer': 'Reykjavík', 'candidate': 'Neuquén'}
{'statement': 'Between Ségou and Sacramento, the city with lower average temperature is Sacramento.', 'answer': 'Sacramento', 'candidate': 'Ségou'}
