{'statement': "I'm looking for a big city to visit. Between Addis Ababa and Cotonou, I should visit Addis Ababa.", 'answer': 'Addis Ababa', 'candidate': 'Cotonou'}
{'statement': "I'm looking for a big city to visit. Between Chicago and Baku, I should visit Chicago.", 'answer': 'Chicago', 'candidate': 'Baku'}
{'statement': "I'm looking for a big city to visit. Between Medellín and Garoua, I should visit Medellín.", 'answer': 'Medellín', 'candidate': 'Garoua'}
{'statement': "I'm looking for a big city to visit. Between Perth and Suwałki, I should visit Perth.", 'answer': 'Perth', 'candidate': 'Suwałki'}
{'statement': "I'm looking for a big city to visit. Between Los Angeles and Lomé, I should visit Los Angeles.", 'answer': 'Los Angeles', 'candidate': 'Lomé'}
{'statement': "I'm looking for a big city to visit. Between Houston and Bishkek, I should visit Houston.", 'answer': 'Houston', 'candidate': 'Bishkek'}
{'statement': "I'm looking for a big city to visit. Between Paris and Cape Town, I should visit Paris.", 'answer': 'Paris', 'candidate': 'Cape Town'}
{'statement': "I'm looking for a big city to visit. Between Melbourne and Ouahigouya, I should visit Melbourne.", 'answer': 'Melbourne', 'candidate': 'Ouahigouya'}
{'statement': "I'm looking for a big city to visit. Between Guadalajara and Kuopio, I should visit Guadalajara.", 'answer': 'Guadalajara', 'candidate': 'Kuopio'}
{'statement': "I'm looking for a big city to visit. Between Nairobi and Pretoria, I should visit Nairobi.", 'answer': 'Nairobi', 'candidate': 'Pretoria'}
{'statement': "I'm looking for a big city to visit. Between London and Bujumbura, I should visit London.", 'answer': 'London', 'candidate': 'Bujumbura'}
{'statement': "I'm looking for a big city to visit. Between Saint Petersburg and Novosibirsk, I should visit Saint Petersburg.", 'answer': 'Saint Petersburg', 'candidate': 'Novosibirsk'}
{'statement': "I'm looking for a big city to visit. Between Luanda and Podgorica, I should visit Luanda.", 'answer': 'Luanda', 'candidate': 'Podgorica'}
{'statement': "I'm looking for a big city to visit. Between Shanghai and Belgrade, I should visit Shanghai.", 'answer': 'Shanghai', 'candidate': 'Belgrade'}
{'statement': "I'm looking for a big city to visit. Between Houston and Ouahigouya, I should visit Houston.", 'answer': 'Houston', 'candidate': 'Ouahigouya'}
{'statement': "I'm looking for a big city to visit. Between Fukuoka and Nouadhibou, I should visit Fukuoka.", 'answer': 'Fukuoka', 'candidate': 'Nouadhibou'}
{'statement': "I'm looking for a big city to visit. Between Sydney and Garoua, I should visit Sydney.", 'answer': 'Sydney', 'candidate': 'Garoua'}
{'statement': "I'm looking for a big city to visit. Between Kabul and Garissa, I should visit Kabul.", 'answer': 'Kabul', 'candidate': 'Garissa'}
{'statement': "I'm looking for a big city to visit. Between Mexico City and Changsha, I should visit Mexico City.", 'answer': 'Mexico City', 'candidate': 'Changsha'}
{'statement': "I'm looking for a big city to visit. Between Kunming and Nur-Sultan, I should visit Kunming.", 'answer': 'Kunming', 'candidate': 'Nur-Sultan'}
{'statement': "I'm looking for a big city to visit. Between Mumbai and Ouahigouya, I should visit Mumbai.", 'answer': 'Mumbai', 'candidate': 'Ouahigouya'}
{'statement': "I'm looking for a big city to visit. Between Sydney and Kuopio, I should visit Sydney.", 'answer': 'Sydney', 'candidate': 'Kuopio'}
{'statement': "I'm looking for a big city to visit. Between Ankara and Cotonou, I should visit Ankara.", 'answer': 'Ankara', 'candidate': 'Cotonou'}
{'statement': "I'm looking for a big city to visit. Between Riyadh and Erbil, I should visit Riyadh.", 'answer': 'Riyadh', 'candidate': 'Erbil'}
{'statement': "I'm looking for a big city to visit. Between Toronto and Makurdi, I should visit Toronto.", 'answer': 'Toronto', 'candidate': 'Makurdi'}
{'statement': "I'm looking for a big city to visit. Between Los Angeles and Changsha, I should visit Los Angeles.", 'answer': 'Los Angeles', 'candidate': 'Changsha'}
