{'statement': 'Between Vientiane and Nairobi, the city with a smaller population is Vientiane.', 'answer': 'Vientiane', 'candidate': 'Nairobi'}
{'statement': 'Between Saskatoon and Guangzhou, the city with a smaller population is Saskatoon.', 'answer': 'Saskatoon', 'candidate': 'Guangzhou'}
{'statement': 'Between Alexandria and Lviv, the city with a smaller population is Lviv.', 'answer': 'Lviv', 'candidate': 'Alexandria'}
{'statement': 'Between Johannesburg and Thiès, the city with a smaller population is Thiès.', 'answer': 'Thiès', 'candidate': 'Johannesburg'}
{'statement': 'Between Willemstad and Monterrey, the city with a smaller population is Willemstad.', 'answer': 'Willemstad', 'candidate': 'Monterrey'}
{'statement': 'Between Paris and Manaus, the city with a smaller population is Manaus.', 'answer': 'Manaus', 'candidate': 'Paris'}
{'statement': 'Between Sydney and Pittsburgh, the city with a smaller population is Pittsburgh.', 'answer': 'Pittsburgh', 'candidate': 'Sydney'}
{'statement': 'Between Ürümqi and Hanoi, the city with a smaller population is Ürümqi.', 'answer': 'Ürümqi', 'candidate': 'Hanoi'}
{'statement': 'Between Jakarta and Harare, the city with a smaller population is Harare.', 'answer': 'Harare', 'candidate': 'Jakarta'}
{'statement': 'Between Córdoba and Moscow, the city with a smaller population is Córdoba.', 'answer': 'Córdoba', 'candidate': 'Moscow'}
{'statement': 'Between Luanda and Sydney, the city with a smaller population is Sydney.', 'answer': 'Sydney', 'candidate': 'Luanda'}
{'statement': 'Between Denpasar and Shanghai, the city with a smaller population is Denpasar.', 'answer': 'Denpasar', 'candidate': 'Shanghai'}
{'statement': 'Between Nairobi and Port-Gentil, the city with a smaller population is Port-Gentil.', 'answer': 'Port-Gentil', 'candidate': 'Nairobi'}
{'statement': 'Between Zürich and Lima, the city with a smaller population is Zürich.', 'answer': 'Zürich', 'candidate': 'Lima'}
{'statement': 'Between Nur-Sultan and Kabul, the city with a smaller population is Nur-Sultan.', 'answer': 'Nur-Sultan', 'candidate': 'Kabul'}
{'statement': 'Between Paris and Goiânia, the city with a smaller population is Goiânia.', 'answer': 'Goiânia', 'candidate': 'Paris'}
{'statement': 'Between Kuwait City and Upington, the city with a smaller population is Upington.', 'answer': 'Upington', 'candidate': 'Kuwait City'}
{'statement': 'Between Kabul and La Paz, the city with a smaller population is La Paz.', 'answer': 'La Paz', 'candidate': 'Kabul'}
{'statement': 'Between London and Hobart, the city with a smaller population is Hobart.', 'answer': 'Hobart', 'candidate': 'London'}
{'statement': 'Between Ürümqi and Lake Havasu City, the city with a smaller population is Lake Havasu City.', 'answer': 'Lake Havasu City', 'candidate': 'Ürümqi'}
{'statement': 'Between Monterrey and Nakhon Ratchasima, the city with a smaller population is Nakhon Ratchasima.', 'answer': 'Nakhon Ratchasima', 'candidate': 'Monterrey'}
{'statement': 'Between Nouakchott and Santiago, the city with a smaller population is Nouakchott.', 'answer': 'Nouakchott', 'candidate': 'Santiago'}
