{'statement': 'Between Rome and San Juan, the city with a larger population is Rome.', 'answer': 'Rome', 'candidate': 'San Juan'}
{'statement': 'Between Manila and Mahajanga, the city with a larger population is Manila.', 'answer': 'Manila', 'candidate': 'Mahajanga'}
{'statement': 'Between Nairobi and Christchurch, the city with a larger population is Nairobi.', 'answer': 'Nairobi', 'candidate': 'Christchurch'}
{'statement': 'Between Mumbai and Murmansk, the city with a larger population is Mumbai.', 'answer': 'Mumbai', 'candidate': 'Murmansk'}
{'statement': 'Between Ho Chi Minh City and Piura, the city with a larger population is Ho Chi Minh City.', 'answer': 'Ho Chi Minh City', 'candidate': 'Piura'}
{'statement': 'Between Bogotá and Tabora, the city with a larger population is Bogotá.', 'answer': 'Bogotá', 'candidate': 'Tabora'}
{'statement': 'Between Algiers and Asmara, the city with a larger population is Algiers.', 'answer': 'Algiers', 'candidate': 'Asmara'}
{'statement': 'Between Jakarta and Tripoli, the city with a larger population is Jakarta.', 'answer': 'Jakarta', 'candidate': 'Tripoli'}
{'statement': 'Between Beijing and Port Sudan, the city with a larger population is Beijing.', 'answer': 'Beijing', 'candidate': 'Port Sudan'}
{'statement': 'Between Hanoi and Kuwait City, the city with a larger population is Hanoi.', 'answer': 'Hanoi', 'candidate': 'Kuwait City'}
{'statement': 'Between Bogotá and Lviv, the city with a larger population is Bogotá.', 'answer': 'Bogotá', 'candidate': 'Lviv'}
{'statement': 'Between Toronto and Goiânia, the city with a larger population is Toronto.', 'answer': 'Toronto', 'candidate': 'Goiânia'}
{'statement': 'Between Santiago and Florianópolis, the city with a larger population is Santiago.', 'answer': 'Santiago', 'candidate': 'Florianópolis'}
{'statement': 'Between Melbourne and Sucre, the city with a larger population is Melbourne.', 'answer': 'Melbourne', 'candidate': 'Sucre'}
{'statement': 'Between Douala and Port-Gentil, the city with a larger population is Douala.', 'answer': 'Douala', 'candidate': 'Port-Gentil'}
{'statement': 'Between Santiago and Dublin, the city with a larger population is Santiago.', 'answer': 'Santiago', 'candidate': 'Dublin'}
{'statement': 'Between Hanoi and Bratislava, the city with a larger population is Hanoi.', 'answer': 'Hanoi', 'candidate': 'Bratislava'}
{'statement': 'Between Dar es Salaam and Lusaka, the city with a larger population is Dar es Salaam.', 'answer': 'Dar es Salaam', 'candidate': 'Lusaka'}
{'statement': 'Between Cairo and Mahajanga, the city with a larger population is Cairo.', 'answer': 'Cairo', 'candidate': 'Mahajanga'}
{'statement': 'Between Shanghai and Pretoria, the city with a larger population is Shanghai.', 'answer': 'Shanghai', 'candidate': 'Pretoria'}
{'statement': 'Between Shanghai and Lisbon, the city with a larger population is Shanghai.', 'answer': 'Shanghai', 'candidate': 'Lisbon'}
{'statement': 'Between Lagos and Porto Alegre, the city with a larger population is Lagos.', 'answer': 'Lagos', 'candidate': 'Porto Alegre'}
{'statement': 'Between Kuwait City and La Paz, the city with a larger population is Kuwait City.', 'answer': 'Kuwait City', 'candidate': 'La Paz'}
