{'statement': "I don't like small cities. Between Guangzhou and Antofagasta, I should visit Guangzhou.", 'answer': 'Guangzhou', 'candidate': 'Antofagasta'}
{'statement': "I don't like small cities. Between Tashkent and Suwałki, I should visit Tashkent.", 'answer': 'Tashkent', 'candidate': 'Suwałki'}
{'statement': "I don't like small cities. Between Buenos Aires and Porto Alegre, I should visit Buenos Aires.", 'answer': 'Buenos Aires', 'candidate': 'Porto Alegre'}
{'statement': "I don't like small cities. Between Guadalajara and Lhasa, I should visit Guadalajara.", 'answer': 'Guadalajara', 'candidate': 'Lhasa'}
{'statement': "I don't like small cities. Between Saint Petersburg and Upington, I should visit Saint Petersburg.", 'answer': 'Saint Petersburg', 'candidate': 'Upington'}
{'statement': "I don't like small cities. Between Fukuoka and Ségou, I should visit Fukuoka.", 'answer': 'Fukuoka', 'candidate': 'Ségou'}
{'statement': "I don't like small cities. Between Los Angeles and Murmansk, I should visit Los Angeles.", 'answer': 'Los Angeles', 'candidate': 'Murmansk'}
{'statement': "I don't like small cities. Between Harare and Entebbe, I should visit Harare.", 'answer': 'Harare', 'candidate': 'Entebbe'}
{'statement': "I don't like small cities. Between Kabul and Lviv, I should visit Kabul.", 'answer': 'Kabul', 'candidate': 'Lviv'}
{'statement': "I don't like small cities. Between Kuwait City and Canberra, I should visit Kuwait City.", 'answer': 'Kuwait City', 'candidate': 'Canberra'}
{'statement': "I don't like small cities. Between Jakarta and Changsha, I should visit Jakarta.", 'answer': 'Jakarta', 'candidate': 'Changsha'}
{'statement': "I don't like small cities. Between Bogotá and Pretoria, I should visit Bogotá.", 'answer': 'Bogotá', 'candidate': 'Pretoria'}
{'statement': "I don't like small cities. Between Manila and Toamasina, I should visit Manila.", 'answer': 'Manila', 'candidate': 'Toamasina'}
{'statement': "I don't like small cities. Between Nairobi and Antofagasta, I should visit Nairobi.", 'answer': 'Nairobi', 'candidate': 'Antofagasta'}
{'statement': "I don't like small cities. Between Melbourne and Amsterdam, I should visit Melbourne.", 'answer': 'Melbourne', 'candidate': 'Amsterdam'}
{'statement': "I don't like small cities. Between Kabul and Upington, I should visit Kabul.", 'answer': 'Kabul', 'candidate': 'Upington'}
{'statement': "I don't like small cities. Between Rome and Belize City, I should visit Rome.", 'answer': 'Rome', 'candidate': 'Belize City'}
{'statement': "I don't like small cities. Between Santiago and Thiès, I should visit Santiago.", 'answer': 'Santiago', 'candidate': 'Thiès'}
