{'statement': "I'm looking for an expensive restaurant. Between Mt Everest Restaurant and Sizzlers, I should go to Mt Everest Restaurant.", 'answer': 'Mt Everest Restaurant', 'candidate': 'Sizzlers'}
{'statement': "I'm looking for an expensive restaurant. Between Falafel Hut Village and Oxygen Restaurant & Lounge, I should go to Oxygen Restaurant & Lounge.", 'answer': 'Oxygen Restaurant & Lounge', 'candidate': 'Falafel Hut Village'}
{'statement': "I'm looking for an expensive restaurant. Between Grappa Ristorante and Buk Chang Dong Soon Tofu, I should go to Grappa Ristorante.", 'answer': 'Grappa Ristorante', 'candidate': 'Buk Chang Dong Soon Tofu'}
{'statement': "I'm looking for an expensive restaurant. Between Mirage Grill & Lounge and Ardor Bistro, I should go to Mirage Grill & Lounge.", 'answer': 'Mirage Grill & Lounge', 'candidate': 'Ardor Bistro'}
{'statement': "I'm looking for an expensive restaurant. Between Lebanese Bakery and Druxy's Famous Deli, I should go to Lebanese Bakery.", 'answer': 'Lebanese Bakery', 'candidate': "Druxy's Famous Deli"}
{'statement': "I'm looking for an expensive restaurant. Between Fitness Avenue and 9 Restaurant, I should go to 9 Restaurant.", 'answer': '9 Restaurant', 'candidate': 'Fitness Avenue'}
{'statement': "I'm looking for an expensive restaurant. Between Mysteriously Yours Dinner Theatre and Mamma's Pizza, I should go to Mysteriously Yours Dinner Theatre.", 'answer': 'Mysteriously Yours Dinner Theatre', 'candidate': "Mamma's Pizza"}
{'statement': "I'm looking for an expensive restaurant. Between Shawarma Twist and Farmacia Health Bar, I should go to Farmacia Health Bar.", 'answer': 'Farmacia Health Bar', 'candidate': 'Shawarma Twist'}
{'statement': "I'm looking for an expensive restaurant. Between Nutella Cafe by Pusateri's and Madras Pantry, I should go to Nutella Cafe by Pusateri's.", 'answer': "Nutella Cafe by Pusateri's", 'candidate': 'Madras Pantry'}
{'statement': "I'm looking for an expensive restaurant. Between Taste of Greek Cuisine and Pho 88, I should go to Taste of Greek Cuisine.", 'answer': 'Taste of Greek Cuisine', 'candidate': 'Pho 88'}
{'statement': "I'm looking for an expensive restaurant. Between Carole's Cheesecake Cafe and Thompson Rooftop, I should go to Thompson Rooftop.", 'answer': 'Thompson Rooftop', 'candidate': "Carole's Cheesecake Cafe"}
{'statement': "I'm looking for an expensive restaurant. Between Anatolia Restaurant and Sizzlers, I should go to Anatolia Restaurant.", 'answer': 'Anatolia Restaurant', 'candidate': 'Sizzlers'}
{'statement': "I'm looking for an expensive restaurant. Between Solero Mediterranean Bakery and Harry's Char Broil & Dining Lounge, I should go to Harry's Char Broil & Dining Lounge.", 'answer': "Harry's Char Broil & Dining Lounge", 'candidate': 'Solero Mediterranean Bakery'}
{'statement': "I'm looking for an expensive restaurant. Between It's All Grk and Ici Bistro, I should go to Ici Bistro.", 'answer': 'Ici Bistro', 'candidate': "It's All Grk"}
{'statement': "I'm looking for an expensive restaurant. Between Ici Bistro and Pasta Pantry, I should go to Ici Bistro.", 'answer': 'Ici Bistro', 'candidate': 'Pasta Pantry'}
{'statement': "I'm looking for an expensive restaurant. Between Kim PO Vietnamese and Branca, I should go to Branca.", 'answer': 'Branca', 'candidate': 'Kim PO Vietnamese'}
{'statement': "I'm looking for an expensive restaurant. Between Mövenpick Café and Green Room, I should go to Mövenpick Café.", 'answer': 'Mövenpick Café', 'candidate': 'Green Room'}
{'statement': "I'm looking for an expensive restaurant. Between Big Al's Diner and Basha Middle Eastern Grill, I should go to Basha Middle Eastern Grill.", 'answer': 'Basha Middle Eastern Grill', 'candidate': "Big Al's Diner"}
{'statement': "I'm looking for an expensive restaurant. Between Phil's Original BBQ and Just Soups Take Out & Catering, I should go to Phil's Original BBQ.", 'answer': "Phil's Original BBQ", 'candidate': 'Just Soups Take Out & Catering'}
{'statement': "I'm looking for an expensive restaurant. Between Phil's Original BBQ and Delicious Paradise Kitchen, I should go to Phil's Original BBQ.", 'answer': "Phil's Original BBQ", 'candidate': 'Delicious Paradise Kitchen'}
{'statement': "I'm looking for an expensive restaurant. Between Shawarma Twist and Cantine Bar & Grill, I should go to Cantine Bar & Grill.", 'answer': 'Cantine Bar & Grill', 'candidate': 'Shawarma Twist'}
{'statement': "I'm looking for an expensive restaurant. Between St. Clair Shawarma and Falafel and La Pupusa Loka, I should go to La Pupusa Loka.", 'answer': 'La Pupusa Loka', 'candidate': 'St. Clair Shawarma and Falafel'}
{'statement': "I'm looking for an expensive restaurant. Between Smoke's Weinerie and Joe Badali's Ristorante Italiano & Bar, I should go to Joe Badali's Ristorante Italiano & Bar.", 'answer': "Joe Badali's Ristorante Italiano & Bar", 'candidate': "Smoke's Weinerie"}
{'statement': "I'm looking for an expensive restaurant. Between Mi Mi Restaurant and Freshii, I should go to Freshii.", 'answer': 'Freshii', 'candidate': 'Mi Mi Restaurant'}
{'statement': "I'm looking for an expensive restaurant. Between Edible Arrangements and EJ Sushi, I should go to Edible Arrangements.", 'answer': 'Edible Arrangements', 'candidate': 'EJ Sushi'}
{'statement': "I'm looking for an expensive restaurant. Between Green Room and Kibo Sushi House, I should go to Kibo Sushi House.", 'answer': 'Kibo Sushi House', 'candidate': 'Green Room'}
{'statement': "I'm looking for an expensive restaurant. Between Falafel Hut Village and Taste of Greek Cuisine, I should go to Taste of Greek Cuisine.", 'answer': 'Taste of Greek Cuisine', 'candidate': 'Falafel Hut Village'}
{'statement': "I'm looking for an expensive restaurant. Between Pho 88 and Tik Talk Cafe, I should go to Tik Talk Cafe.", 'answer': 'Tik Talk Cafe', 'candidate': 'Pho 88'}
{'statement': "I'm looking for an expensive restaurant. Between Kairali - Taste of Kerala and Branca, I should go to Branca.", 'answer': 'Branca', 'candidate': 'Kairali - Taste of Kerala'}
{'statement': "I'm looking for an expensive restaurant. Between Chick Fiesta and Viccino Pizzeria, I should go to Viccino Pizzeria.", 'answer': 'Viccino Pizzeria', 'candidate': 'Chick Fiesta'}
{'statement': "I'm looking for an expensive restaurant. Between Sizzlers and Cantine Bar & Grill, I should go to Cantine Bar & Grill.", 'answer': 'Cantine Bar & Grill', 'candidate': 'Sizzlers'}
{'statement': "I'm looking for an expensive restaurant. Between Ciao Europa wine bar and Villa Madina, I should go to Ciao Europa wine bar.", 'answer': 'Ciao Europa wine bar', 'candidate': 'Villa Madina'}
{'statement': "I'm looking for an expensive restaurant. Between Cantine Bar & Grill and The Empire, I should go to Cantine Bar & Grill.", 'answer': 'Cantine Bar & Grill', 'candidate': 'The Empire'}
{'statement': "I'm looking for an expensive restaurant. Between Just Soups Take Out & Catering and Harry's Char Broil & Dining Lounge, I should go to Harry's Char Broil & Dining Lounge.", 'answer': "Harry's Char Broil & Dining Lounge", 'candidate': 'Just Soups Take Out & Catering'}
{'statement': "I'm looking for an expensive restaurant. Between Ici Bistro and Big Al's Diner, I should go to Ici Bistro.", 'answer': 'Ici Bistro', 'candidate': "Big Al's Diner"}
{'statement': "I'm looking for an expensive restaurant. Between Fit For Life and Sheriff Broaster Chicken, I should go to Sheriff Broaster Chicken.", 'answer': 'Sheriff Broaster Chicken', 'candidate': 'Fit For Life'}
{'statement': "I'm looking for an expensive restaurant. Between Aris Place and Tik Talk Cafe, I should go to Tik Talk Cafe.", 'answer': 'Tik Talk Cafe', 'candidate': 'Aris Place'}
{'statement': "I'm looking for an expensive restaurant. Between Le Papillon Park and Shawarma Twist, I should go to Le Papillon Park.", 'answer': 'Le Papillon Park', 'candidate': 'Shawarma Twist'}
