{'statement': "I don't like hot weather. Between Mahajanga and Bahía Blanca, I should visit Bahía Blanca.", 'answer': 'Bahía Blanca', 'candidate': 'Mahajanga'}
{'statement': "I don't like hot weather. Between Douala and Paris, I should visit Paris.", 'answer': 'Paris', 'candidate': 'Douala'}
{'statement': "I don't like hot weather. Between La Paz and Erzurum, I should visit Erzurum.", 'answer': 'Erzurum', 'candidate': 'La Paz'}
{'statement': "I don't like hot weather. Between Kano and Cape Town, I should visit Cape Town.", 'answer': 'Cape Town', 'candidate': 'Kano'}
{'statement': "I don't like hot weather. Between Ho Chi Minh City and Tirana, I should visit Tirana.", 'answer': 'Tirana', 'candidate': 'Ho Chi Minh City'}
{'statement': "I don't like hot weather. Between Kuwait City and Bergen, I should visit Bergen.", 'answer': 'Bergen', 'candidate': 'Kuwait City'}
{'statement': "I don't like hot weather. Between Rosario and Oslo, I should visit Oslo.", 'answer': 'Oslo', 'candidate': 'Rosario'}
{'statement': "I don't like hot weather. Between Honolulu and Fairbanks, I should visit Fairbanks.", 'answer': 'Fairbanks', 'candidate': 'Honolulu'}
{'statement': "I don't like hot weather. Between Hamilton and Calgary, I should visit Calgary.", 'answer': 'Calgary', 'candidate': 'Hamilton'}
{'statement': "I don't like hot weather. Between Kingston and Pittsburgh, I should visit Pittsburgh.", 'answer': 'Pittsburgh', 'candidate': 'Kingston'}
{'statement': "I don't like hot weather. Between Djibouti and Podgorica, I should visit Podgorica.", 'answer': 'Podgorica', 'candidate': 'Djibouti'}
{'statement': "I don't like hot weather. Between Surabaya and Indianapolis, I should visit Indianapolis.", 'answer': 'Indianapolis', 'candidate': 'Surabaya'}
{'statement': "I don't like hot weather. Between Brasília and Calgary, I should visit Calgary.", 'answer': 'Calgary', 'candidate': 'Brasília'}
{'statement': "I don't like hot weather. Between San Juan and Bucharest, I should visit Bucharest.", 'answer': 'Bucharest', 'candidate': 'San Juan'}
{'statement': "I don't like hot weather. Between Hanoi and Frankfurt, I should visit Frankfurt.", 'answer': 'Frankfurt', 'candidate': 'Hanoi'}
{'statement': "I don't like hot weather. Between Durban and Minneapolis, I should visit Minneapolis.", 'answer': 'Minneapolis', 'candidate': 'Durban'}
{'statement': "I don't like hot weather. Between Tabora and Almaty, I should visit Almaty.", 'answer': 'Almaty', 'candidate': 'Tabora'}
{'statement': "I don't like hot weather. Between Djibouti and Addis Ababa, I should visit Addis Ababa.", 'answer': 'Addis Ababa', 'candidate': 'Djibouti'}
{'statement': "I don't like hot weather. Between La Ceiba and Sapporo, I should visit Sapporo.", 'answer': 'Sapporo', 'candidate': 'La Ceiba'}
{'statement': "I don't like hot weather. Between Phnom Penh and Novosibirsk, I should visit Novosibirsk.", 'answer': 'Novosibirsk', 'candidate': 'Phnom Penh'}
{'statement': "I don't like hot weather. Between Sokoto and Christchurch, I should visit Christchurch.", 'answer': 'Christchurch', 'candidate': 'Sokoto'}
{'statement': "I don't like hot weather. Between Panama City and Zagreb, I should visit Zagreb.", 'answer': 'Zagreb', 'candidate': 'Panama City'}
{'statement': "I don't like hot weather. Between Chicago and Ulaanbaatar, I should visit Ulaanbaatar.", 'answer': 'Ulaanbaatar', 'candidate': 'Chicago'}
{'statement': "I don't like hot weather. Between Villahermosa and Ulaanbaatar, I should visit Ulaanbaatar.", 'answer': 'Ulaanbaatar', 'candidate': 'Villahermosa'}
{'statement': "I don't like hot weather. Between Surabaya and Zürich, I should visit Zürich.", 'answer': 'Zürich', 'candidate': 'Surabaya'}
