{'statement': "Someone doesn't like expensive restaurants. Between Nook and Thompson Rooftop, this person should go to Nook.", 'answer': 'Nook', 'candidate': 'Thompson Rooftop'}
{'statement': "Someone doesn't like expensive restaurants. Between Sheriff Broaster Chicken and Mirage Grill & Lounge, this person should go to Sheriff Broaster Chicken.", 'answer': 'Sheriff Broaster Chicken', 'candidate': 'Mirage Grill & Lounge'}
{'statement': "Someone doesn't like expensive restaurants. Between Buk Chang Dong Soon Tofu and LCBO, this person should go to Buk Chang Dong Soon Tofu.", 'answer': 'Buk Chang Dong Soon Tofu', 'candidate': 'LCBO'}
{'statement': "Someone doesn't like expensive restaurants. Between Juice & Java Cafe and Cake Opera, this person should go to Juice & Java Cafe.", 'answer': 'Juice & Java Cafe', 'candidate': 'Cake Opera'}
{'statement': "Someone doesn't like expensive restaurants. Between Mysteriously Yours Dinner Theatre and Hina Sushi, this person should go to Hina Sushi.", 'answer': 'Hina Sushi', 'candidate': 'Mysteriously Yours Dinner Theatre'}
{'statement': "Someone doesn't like expensive restaurants. Between The Coffee Pocket and Sichuan Landscape Chinese Restaurant, this person should go to The Coffee Pocket.", 'answer': 'The Coffee Pocket', 'candidate': 'Sichuan Landscape Chinese Restaurant'}
{'statement': "Someone doesn't like expensive restaurants. Between Queen Pita and LCBO, this person should go to Queen Pita.", 'answer': 'Queen Pita', 'candidate': 'LCBO'}
{'statement': "Someone doesn't like expensive restaurants. Between Supermodel Pizza and Lebanese Bakery, this person should go to Supermodel Pizza.", 'answer': 'Supermodel Pizza', 'candidate': 'Lebanese Bakery'}
{'statement': "Someone doesn't like expensive restaurants. Between New Bilan Restaurant and Joe Badali's Ristorante Italiano & Bar, this person should go to New Bilan Restaurant.", 'answer': 'New Bilan Restaurant', 'candidate': "Joe Badali's Ristorante Italiano & Bar"}
{'statement': "Someone doesn't like expensive restaurants. Between Chipotle Mexican Grill and Madras Pantry, this person should go to Madras Pantry.", 'answer': 'Madras Pantry', 'candidate': 'Chipotle Mexican Grill'}
{'statement': "Someone doesn't like expensive restaurants. Between FreshCo and Helena's Magic Kitchen, this person should go to Helena's Magic Kitchen.", 'answer': "Helena's Magic Kitchen", 'candidate': 'FreshCo'}
{'statement': "Someone doesn't like expensive restaurants. Between Piper's Pub And Grill and Dinah's Cupboard, this person should go to Piper's Pub And Grill.", 'answer': "Piper's Pub And Grill", 'candidate': "Dinah's Cupboard"}
{'statement': "Someone doesn't like expensive restaurants. Between Maurya East Indian Roti and Top Sushi, this person should go to Top Sushi.", 'answer': 'Top Sushi', 'candidate': 'Maurya East Indian Roti'}
{'statement': "Someone doesn't like expensive restaurants. Between KFC and La Pupusa Loka, this person should go to KFC.", 'answer': 'KFC', 'candidate': 'La Pupusa Loka'}
{'statement': "Someone doesn't like expensive restaurants. Between Buk Chang Dong Soon Tofu and Hapa Toronto, this person should go to Buk Chang Dong Soon Tofu.", 'answer': 'Buk Chang Dong Soon Tofu', 'candidate': 'Hapa Toronto'}
