{'statement': 'Someone is looking for a big city to visit. Between San Diego and Yakutsk, this person should visit San Diego.', 'answer': 'San Diego', 'candidate': 'Yakutsk'}
{'statement': 'Someone is looking for a big city to visit. Between Piura and Luanda, this person should visit Luanda.', 'answer': 'Luanda', 'candidate': 'Piura'}
{'statement': 'Someone is looking for a big city to visit. Between Makurdi and Buenos Aires, this person should visit Buenos Aires.', 'answer': 'Buenos Aires', 'candidate': 'Makurdi'}
{'statement': 'Someone is looking for a big city to visit. Between Gabès and Minneapolis, this person should visit Minneapolis.', 'answer': 'Minneapolis', 'candidate': 'Gabès'}
{'statement': 'Someone is looking for a big city to visit. Between Chihuahua and Denver, this person should visit Denver.', 'answer': 'Denver', 'candidate': 'Chihuahua'}
{'statement': 'Someone is looking for a big city to visit. Between Los Angeles and Jakarta, this person should visit Jakarta.', 'answer': 'Jakarta', 'candidate': 'Los Angeles'}
{'statement': 'Someone is looking for a big city to visit. Between Bratislava and Surabaya, this person should visit Surabaya.', 'answer': 'Surabaya', 'candidate': 'Bratislava'}
{'statement': 'Someone is looking for a big city to visit. Between Johannesburg and Ushuaia, this person should visit Johannesburg.', 'answer': 'Johannesburg', 'candidate': 'Ushuaia'}
{'statement': 'Someone is looking for a big city to visit. Between Goiânia and Nairobi, this person should visit Nairobi.', 'answer': 'Nairobi', 'candidate': 'Goiânia'}
{'statement': 'Someone is looking for a big city to visit. Between Hanoi and Saint Petersburg, this person should visit Hanoi.', 'answer': 'Hanoi', 'candidate': 'Saint Petersburg'}
{'statement': 'Someone is looking for a big city to visit. Between Darwin and Tampa, this person should visit Tampa.', 'answer': 'Tampa', 'candidate': 'Darwin'}
{'statement': 'Someone is looking for a big city to visit. Between Alexandria and Auckland, this person should visit Alexandria.', 'answer': 'Alexandria', 'candidate': 'Auckland'}
{'statement': 'Someone is looking for a big city to visit. Between Chicago and Malabo, this person should visit Chicago.', 'answer': 'Chicago', 'candidate': 'Malabo'}
{'statement': 'Someone is looking for a big city to visit. Between Alexandria and Lake Havasu City, this person should visit Alexandria.', 'answer': 'Alexandria', 'candidate': 'Lake Havasu City'}
{'statement': 'Someone is looking for a big city to visit. Between Mumbai and Tauranga, this person should visit Mumbai.', 'answer': 'Mumbai', 'candidate': 'Tauranga'}
{'statement': 'Someone is looking for a big city to visit. Between Melbourne and Kathmandu, this person should visit Melbourne.', 'answer': 'Melbourne', 'candidate': 'Kathmandu'}
{'statement': 'Someone is looking for a big city to visit. Between Bratislava and Hanoi, this person should visit Hanoi.', 'answer': 'Hanoi', 'candidate': 'Bratislava'}
{'statement': 'Someone is looking for a big city to visit. Between Guangzhou and Tirana, this person should visit Guangzhou.', 'answer': 'Guangzhou', 'candidate': 'Tirana'}
{'statement': 'Someone is looking for a big city to visit. Between Irkutsk and Nairobi, this person should visit Nairobi.', 'answer': 'Nairobi', 'candidate': 'Irkutsk'}
{'statement': 'Someone is looking for a big city to visit. Between Karachi and Hat Yai, this person should visit Karachi.', 'answer': 'Karachi', 'candidate': 'Hat Yai'}
{'statement': 'Someone is looking for a big city to visit. Between Mahajanga and Buenos Aires, this person should visit Buenos Aires.', 'answer': 'Buenos Aires', 'candidate': 'Mahajanga'}
{'statement': 'Someone is looking for a big city to visit. Between Tauranga and Hanoi, this person should visit Hanoi.', 'answer': 'Hanoi', 'candidate': 'Tauranga'}
