{'statement': "Someone doesn't like the restaurants nearby. Between Sushi Shop and JJ Bean, this person should go to JJ Bean.", 'answer': 'JJ Bean', 'candidate': 'Sushi Shop'}
{'statement': "Someone doesn't like the restaurants nearby. Between Anatolia Restaurant and Carole's Cheesecake Cafe, this person should go to Carole's Cheesecake Cafe.", 'answer': "Carole's Cheesecake Cafe", 'candidate': 'Anatolia Restaurant'}
{'statement': "Someone doesn't like the restaurants nearby. Between Harry's Char Broil & Dining Lounge and EJ Sushi, this person should go to EJ Sushi.", 'answer': 'EJ Sushi', 'candidate': "Harry's Char Broil & Dining Lounge"}
{'statement': "Someone doesn't like the restaurants nearby. Between Juice & Java Cafe and Hawthorne Food and Drink, this person should go to Hawthorne Food and Drink.", 'answer': 'Hawthorne Food and Drink', 'candidate': 'Juice & Java Cafe'}
{'statement': "Someone doesn't like the restaurants nearby. Between Kairali - Taste of Kerala and St. Clair Shawarma and Falafel, this person should go to St. Clair Shawarma and Falafel.", 'answer': 'St. Clair Shawarma and Falafel', 'candidate': 'Kairali - Taste of Kerala'}
{'statement': "Someone doesn't like the restaurants nearby. Between Juice & Java Cafe and Eastern legend, this person should go to Eastern legend.", 'answer': 'Eastern legend', 'candidate': 'Juice & Java Cafe'}
{'statement': "Someone doesn't like the restaurants nearby. Between Kim PO Vietnamese and Banjara Indian Cuisine, this person should go to Banjara Indian Cuisine.", 'answer': 'Banjara Indian Cuisine', 'candidate': 'Kim PO Vietnamese'}
{'statement': "Someone doesn't like the restaurants nearby. Between Mirage Grill & Lounge and Branca, this person should go to Mirage Grill & Lounge.", 'answer': 'Mirage Grill & Lounge', 'candidate': 'Branca'}
{'statement': "Someone doesn't like the restaurants nearby. Between Helena's Magic Kitchen and La Cocina De Dona Luz, this person should go to Helena's Magic Kitchen.", 'answer': "Helena's Magic Kitchen", 'candidate': 'La Cocina De Dona Luz'}
{'statement': "Someone doesn't like the restaurants nearby. Between Freshii and Popeyes Louisiana Kitchen, this person should go to Freshii.", 'answer': 'Freshii', 'candidate': 'Popeyes Louisiana Kitchen'}
{'statement': "Someone doesn't like the restaurants nearby. Between Breakfast Room and Shawarma Twist, this person should go to Shawarma Twist.", 'answer': 'Shawarma Twist', 'candidate': 'Breakfast Room'}
