{'statement': 'Someone is looking for a small city to visit. Between Phoenix and Ljubljana, this person should visit Ljubljana.', 'answer': 'Ljubljana', 'candidate': 'Phoenix'}
{'statement': 'Someone is looking for a small city to visit. Between Luanda and Ho Chi Minh City, this person should visit Luanda.', 'answer': 'Luanda', 'candidate': 'Ho Chi Minh City'}
{'statement': 'Someone is looking for a small city to visit. Between Maputo and Shanghai, this person should visit Maputo.', 'answer': 'Maputo', 'candidate': 'Shanghai'}
{'statement': 'Someone is looking for a small city to visit. Between Minneapolis and Ljubljana, this person should visit Ljubljana.', 'answer': 'Ljubljana', 'candidate': 'Minneapolis'}
{'statement': 'Someone is looking for a small city to visit. Between Cairo and Caracas, this person should visit Caracas.', 'answer': 'Caracas', 'candidate': 'Cairo'}
{'statement': 'Someone is looking for a small city to visit. Between Minneapolis and Cabo San Lucas, this person should visit Cabo San Lucas.', 'answer': 'Cabo San Lucas', 'candidate': 'Minneapolis'}
{'statement': 'Someone is looking for a small city to visit. Between Upington and Brasília, this person should visit Upington.', 'answer': 'Upington', 'candidate': 'Brasília'}
{'statement': 'Someone is looking for a small city to visit. Between Bangkok and Manila, this person should visit Bangkok.', 'answer': 'Bangkok', 'candidate': 'Manila'}
{'statement': 'Someone is looking for a small city to visit. Between Manaus and Dar es Salaam, this person should visit Manaus.', 'answer': 'Manaus', 'candidate': 'Dar es Salaam'}
{'statement': 'Someone is looking for a small city to visit. Between La Ceiba and Addis Ababa, this person should visit La Ceiba.', 'answer': 'La Ceiba', 'candidate': 'Addis Ababa'}
{'statement': 'Someone is looking for a small city to visit. Between Bergen and Phoenix, this person should visit Bergen.', 'answer': 'Bergen', 'candidate': 'Phoenix'}
{'statement': 'Someone is looking for a small city to visit. Between Reykjavík and Houston, this person should visit Reykjavík.', 'answer': 'Reykjavík', 'candidate': 'Houston'}
{'statement': 'Someone is looking for a small city to visit. Between Saint Petersburg and Baku, this person should visit Baku.', 'answer': 'Baku', 'candidate': 'Saint Petersburg'}
{'statement': 'Someone is looking for a small city to visit. Between Paris and Changsha, this person should visit Changsha.', 'answer': 'Changsha', 'candidate': 'Paris'}
{'statement': 'Someone is looking for a small city to visit. Between Ndola and Mumbai, this person should visit Ndola.', 'answer': 'Ndola', 'candidate': 'Mumbai'}
{'statement': 'Someone is looking for a small city to visit. Between Palembang and Alexandria, this person should visit Palembang.', 'answer': 'Palembang', 'candidate': 'Alexandria'}
{'statement': 'Someone is looking for a small city to visit. Between Conakry and Ankara, this person should visit Conakry.', 'answer': 'Conakry', 'candidate': 'Ankara'}
{'statement': 'Someone is looking for a small city to visit. Between Saint Petersburg and Milwaukee, this person should visit Milwaukee.', 'answer': 'Milwaukee', 'candidate': 'Saint Petersburg'}
{'statement': 'Someone is looking for a small city to visit. Between Los Angeles and Christchurch, this person should visit Christchurch.', 'answer': 'Christchurch', 'candidate': 'Los Angeles'}
{'statement': 'Someone is looking for a small city to visit. Between Ho Chi Minh City and Honolulu, this person should visit Honolulu.', 'answer': 'Honolulu', 'candidate': 'Ho Chi Minh City'}
{'statement': 'Someone is looking for a small city to visit. Between Alexandria and Bogotá, this person should visit Alexandria.', 'answer': 'Alexandria', 'candidate': 'Bogotá'}
{'statement': 'Someone is looking for a small city to visit. Between Shanghai and Melbourne, this person should visit Melbourne.', 'answer': 'Melbourne', 'candidate': 'Shanghai'}
{'statement': 'Someone is looking for a small city to visit. Between Santiago and Bahía Blanca, this person should visit Bahía Blanca.', 'answer': 'Bahía Blanca', 'candidate': 'Santiago'}
{'statement': 'Someone is looking for a small city to visit. Between Ankara and Algiers, this person should visit Algiers.', 'answer': 'Algiers', 'candidate': 'Ankara'}
{'statement': 'Someone is looking for a small city to visit. Between La Paz and Luanda, this person should visit La Paz.', 'answer': 'La Paz', 'candidate': 'Luanda'}
{'statement': 'Someone is looking for a small city to visit. Between Suwałki and Ankara, this person should visit Suwałki.', 'answer': 'Suwałki', 'candidate': 'Ankara'}
{'statement': 'Someone is looking for a small city to visit. Between London and Fairbanks, this person should visit Fairbanks.', 'answer': 'Fairbanks', 'candidate': 'London'}
{'statement': 'Someone is looking for a small city to visit. Between Moscow and Paramaribo, this person should visit Paramaribo.', 'answer': 'Paramaribo', 'candidate': 'Moscow'}
{'statement': 'Someone is looking for a small city to visit. Between Cape Town and San Diego, this person should visit Cape Town.', 'answer': 'Cape Town', 'candidate': 'San Diego'}
{'statement': 'Someone is looking for a small city to visit. Between Mendoza and Brisbane, this person should visit Mendoza.', 'answer': 'Mendoza', 'candidate': 'Brisbane'}
{'statement': 'Someone is looking for a small city to visit. Between Chicago and Medellín, this person should visit Medellín.', 'answer': 'Medellín', 'candidate': 'Chicago'}
{'statement': 'Someone is looking for a small city to visit. Between Jakarta and Saint Petersburg, this person should visit Saint Petersburg.', 'answer': 'Saint Petersburg', 'candidate': 'Jakarta'}
{'statement': 'Someone is looking for a small city to visit. Between Melbourne and Bucharest, this person should visit Bucharest.', 'answer': 'Bucharest', 'candidate': 'Melbourne'}
{'statement': 'Someone is looking for a small city to visit. Between Melbourne and Antsiranana, this person should visit Antsiranana.', 'answer': 'Antsiranana', 'candidate': 'Melbourne'}
{'statement': 'Someone is looking for a small city to visit. Between Santiago and Sacramento, this person should visit Sacramento.', 'answer': 'Sacramento', 'candidate': 'Santiago'}
{'statement': 'Someone is looking for a small city to visit. Between Irkutsk and Chicago, this person should visit Irkutsk.', 'answer': 'Irkutsk', 'candidate': 'Chicago'}
{'statement': 'Someone is looking for a small city to visit. Between Port Sudan and Bangkok, this person should visit Port Sudan.', 'answer': 'Port Sudan', 'candidate': 'Bangkok'}
{'statement': 'Someone is looking for a small city to visit. Between Ankara and Douala, this person should visit Douala.', 'answer': 'Douala', 'candidate': 'Ankara'}
{'statement': 'Someone is looking for a small city to visit. Between Cairo and Kampala, this person should visit Kampala.', 'answer': 'Kampala', 'candidate': 'Cairo'}
{'statement': 'Someone is looking for a small city to visit. Between Juba and Kabul, this person should visit Juba.', 'answer': 'Juba', 'candidate': 'Kabul'}
{'statement': 'Someone is looking for a small city to visit. Between Saint Petersburg and Lake Havasu City, this person should visit Lake Havasu City.', 'answer': 'Lake Havasu City', 'candidate': 'Saint Petersburg'}
{'statement': 'Someone is looking for a small city to visit. Between Belize City and Perth, this person should visit Belize City.', 'answer': 'Belize City', 'candidate': 'Perth'}
{'statement': 'Someone is looking for a small city to visit. Between Shanghai and Rangpur, this person should visit Rangpur.', 'answer': 'Rangpur', 'candidate': 'Shanghai'}
{'statement': 'Someone is looking for a small city to visit. Between Paris and Melbourne, this person should visit Melbourne.', 'answer': 'Melbourne', 'candidate': 'Paris'}
{'statement': 'Someone is looking for a small city to visit. Between Baghdad and Lomé, this person should visit Lomé.', 'answer': 'Lomé', 'candidate': 'Baghdad'}
{'statement': 'Someone is looking for a small city to visit. Between Jakarta and Nur-Sultan, this person should visit Nur-Sultan.', 'answer': 'Nur-Sultan', 'candidate': 'Jakarta'}
{'statement': 'Someone is looking for a small city to visit. Between Dar es Salaam and Wellington, this person should visit Wellington.', 'answer': 'Wellington', 'candidate': 'Dar es Salaam'}
{'statement': 'Someone is looking for a small city to visit. Between Ho Chi Minh City and Bishkek, this person should visit Bishkek.', 'answer': 'Bishkek', 'candidate': 'Ho Chi Minh City'}
{'statement': 'Someone is looking for a small city to visit. Between Kano and La Paz, this person should visit La Paz.', 'answer': 'La Paz', 'candidate': 'Kano'}
{'statement': 'Someone is looking for a small city to visit. Between Aden and Santiago, this person should visit Aden.', 'answer': 'Aden', 'candidate': 'Santiago'}
{'statement': 'Someone is looking for a small city to visit. Between Chihuahua and Hanoi, this person should visit Chihuahua.', 'answer': 'Chihuahua', 'candidate': 'Hanoi'}
