,prompt,answer,top_predictions,score
0,"Q: Is the following sentence plausible? ""William Nylander crossed the blue line.""
A: The answer is ->",yes,"['yes', 'Yes', 'es', 'no', 'yeah']",True
1,"Q: Is the following sentence plausible? ""Nikola Vucevic lost control of the puck.""
A: The answer is ->",no,"['no', 'yes', 'No', 'o', 'hockey']",True
2,"Q: Is the following sentence plausible? ""Anthony Rizzo skated backwards in the Stanley Cup.""
A: The answer is ->",no,"['no', 'yes', 'baseball', 'No', 'o']",True
3,"Q: Is the following sentence plausible? ""Draymond Green took a three.""
A: The answer is ->",yes,"['yes', 'no', 'es', 'Yes', 'yeah']",True
4,"Q: Is the following sentence plausible? ""Neymar took a throw in in the Champions League Final.""
A: The answer is ->",yes,"['yes', 'no', 'Yes', 'yeah', 'es']",True
5,"Q: Is the following sentence plausible? ""Ryan O\'Reilly wristed a shot.""
A: The answer is ->",yes,"['yes', 'no', 'es', 'Yes', 'yeah']",True
6,"Q: Is the following sentence plausible? ""Khyri Thomas\xc2\xa0 hit nothing but net.""
A: The answer is ->",yes,"['yes', 'no', 'es', 'Yes', 'yeah']",True
7,"Q: Is the following sentence plausible? ""Marquise Brown hit the wheel route.""
A: The answer is ->",yes,"['yes', 'no', 'es', 'Yes', 'yeah']",True
8,"Q: Is the following sentence plausible? ""Aaron Rodgers scored a freekick.""
A: The answer is ->",no,"['no', 'yes', 'football', 'No', 'soccer']",True
9,"Q: Is the following sentence plausible? ""George Springer committed a blocking foul.""
A: The answer is ->",no,"['no', 'yes', 'baseball', 'No', 'o']",True
10,"Q: Is the following sentence plausible? ""Khris Middleton went one for two from the line in the NBA Championship.""
A: The answer is ->",yes,"['yes', 'no', 'es', 'Yes', 'yeah']",True
11,"Q: Is the following sentence plausible? ""Kristaps Porzingis launched a hail mary.""
A: The answer is ->",no,"['no', 'yes', 'o', 'No', 'basketball']",True
12,"Q: Is the following sentence plausible? ""Kevin Durant hit a walkoff homer.""
A: The answer is ->",no,"['no', 'basketball', 'baseball', 'yes', 'o']",True
13,"Q: Is the following sentence plausible? ""Tuukka Rask hit a double.""
A: The answer is ->",no,"['yes', 'no', 'hockey', 'yeah', 'No']",False
14,"Q: Is the following sentence plausible? ""Deshaun Watson was flagged on the play.""
A: The answer is ->",yes,"['yes', 'no', 'es', 'Yes', 'yeah']",True
15,"Q: Is the following sentence plausible? ""Juan Soto spent time in the penalty box.""
A: The answer is ->",no,"['no', 'yes', 'baseball', 'No', 'o']",True
16,"Q: Is the following sentence plausible? ""Manny Machado comitted an offensive foul in the Eastern Conference Finals.""
A: The answer is ->",no,"['no', 'baseball', 'yes', 'No', 'o']",True
17,"Q: Is the following sentence plausible? ""Mario Balotelli hit the wheel route.""
A: The answer is ->",no,"['no', 'yes', 'football', 'No', 'soccer']",True
18,"Q: Is the following sentence plausible? ""Yordan Alvarez was safe at first.""
A: The answer is ->",yes,"['yes', 'no', 'yeah', 'es', 'baseball']",True
19,"Q: Is the following sentence plausible? ""Xander Bogaerts shot the puck.""
A: The answer is ->",no,"['yes', 'no', 'baseball', 'yeah', 'es']",False
20,"Q: Is the following sentence plausible? ""Daniele De Rossi got a base hit.""
A: The answer is ->",no,"['no', 'soccer', 'yes', 'No', 'baseball']",True
21,"Q: Is the following sentence plausible? ""Luka Doncic\xc2\xa0 scored a reverse layup.""
A: The answer is ->",yes,"['yes', 'es', 'Yes', 'YES', 'no']",True
22,"Q: Is the following sentence plausible? ""Stephen Curry took an elbow jumper.""
A: The answer is ->",yes,"['yes', 'es', 'no', 'Yes', 'YES']",True
23,"Q: Is the following sentence plausible? ""Mike Williams fumbled the ball in the Superbowl.""
A: The answer is ->",yes,"['yes', 'no', 'es', 'yeah', 'Yes']",True
24,"Q: Is the following sentence plausible? ""Freddie Freeman watched the pitch go by.""
A: The answer is ->",yes,"['yes', 'no', 'es', 'YES', 'Yes']",True
25,"Q: Is the following sentence plausible? ""Bastian Schweinsteiger earned a direct kick.""
A: The answer is ->",yes,"['yes', 'no', 'es', 'Yes', 'yeah']",True
26,"Q: Is the following sentence plausible? ""George Springer drew a flag on the play.""
A: The answer is ->",no,"['no', 'yes', 'baseball', 'o', 'No']",True
27,"Q: Is the following sentence plausible? ""Terry McLaurin took a long two.""
A: The answer is ->",no,"['no', 'yes', 'No', 'o', 'football']",True
28,"Q: Is the following sentence plausible? ""Javier Mascherano wristed a shot.""
A: The answer is ->",no,"['no', 'yes', 'soccer', 'No', 'o']",True
29,"Q: Is the following sentence plausible? ""Mitchell Marner was out at second.""
A: The answer is ->",no,"['no', 'yes', 'baseball', 'No', 'o']",True
30,"Q: Is the following sentence plausible? ""Jamal Murray went five hole.""
A: The answer is ->",no,"['no', 'yes', 'No', 'es', 'NO']",True
