{'statement': 'Someone is looking for a city with cold weather. Between Barranquilla and Sacramento, this person should visit Sacramento.', 'answer': 'Sacramento', 'candidate': 'Barranquilla'}
{'statement': 'Someone is looking for a city with cold weather. Between Suva and Minneapolis, this person should visit Minneapolis.', 'answer': 'Minneapolis', 'candidate': 'Suva'}
{'statement': 'Someone is looking for a city with cold weather. Between Port Sudan and Buenos Aires, this person should visit Buenos Aires.', 'answer': 'Buenos Aires', 'candidate': 'Port Sudan'}
{'statement': 'Someone is looking for a city with cold weather. Between Wau and Bratislava, this person should visit Bratislava.', 'answer': 'Bratislava', 'candidate': 'Wau'}
{'statement': 'Someone is looking for a city with cold weather. Between Ho Chi Minh City and Ushuaia, this person should visit Ushuaia.', 'answer': 'Ushuaia', 'candidate': 'Ho Chi Minh City'}
{'statement': 'Someone is looking for a city with cold weather. Between Managua and Napier, this person should visit Napier.', 'answer': 'Napier', 'candidate': 'Managua'}
{'statement': 'Someone is looking for a city with cold weather. Between Bamako and Milwaukee, this person should visit Milwaukee.', 'answer': 'Milwaukee', 'candidate': 'Bamako'}
{'statement': 'Someone is looking for a city with cold weather. Between Shanghai and Ottawa, this person should visit Ottawa.', 'answer': 'Ottawa', 'candidate': 'Shanghai'}
{'statement': 'Someone is looking for a city with cold weather. Between Willemstad and Vienna, this person should visit Vienna.', 'answer': 'Vienna', 'candidate': 'Willemstad'}
{'statement': 'Someone is looking for a city with cold weather. Between Bujumbura and Ljubljana, this person should visit Ljubljana.', 'answer': 'Ljubljana', 'candidate': 'Bujumbura'}
{'statement': 'Someone is looking for a city with cold weather. Between Guangzhou and Almaty, this person should visit Almaty.', 'answer': 'Almaty', 'candidate': 'Guangzhou'}
{'statement': 'Someone is looking for a city with cold weather. Between Porto Alegre and Copenhagen, this person should visit Copenhagen.', 'answer': 'Copenhagen', 'candidate': 'Porto Alegre'}
{'statement': 'Someone is looking for a city with cold weather. Between Luanda and Ürümqi, this person should visit Ürümqi.', 'answer': 'Ürümqi', 'candidate': 'Luanda'}
{'statement': 'Someone is looking for a city with cold weather. Between San Juan and Addis Ababa, this person should visit Addis Ababa.', 'answer': 'Addis Ababa', 'candidate': 'San Juan'}
{'statement': 'Someone is looking for a city with cold weather. Between Valencia and Saint Petersburg, this person should visit Saint Petersburg.', 'answer': 'Saint Petersburg', 'candidate': 'Valencia'}
{'statement': 'Someone is looking for a city with cold weather. Between Wau and Anchorage, this person should visit Anchorage.', 'answer': 'Anchorage', 'candidate': 'Wau'}
{'statement': 'Someone is looking for a city with cold weather. Between Mombasa and Toluca, this person should visit Toluca.', 'answer': 'Toluca', 'candidate': 'Mombasa'}
{'statement': 'Someone is looking for a city with cold weather. Between Dodoma and Saskatoon, this person should visit Saskatoon.', 'answer': 'Saskatoon', 'candidate': 'Dodoma'}
{'statement': 'Someone is looking for a city with cold weather. Between Bujumbura and Indianapolis, this person should visit Indianapolis.', 'answer': 'Indianapolis', 'candidate': 'Bujumbura'}
{'statement': 'Someone is looking for a city with cold weather. Between Lusaka and Zürich, this person should visit Zürich.', 'answer': 'Zürich', 'candidate': 'Lusaka'}
{'statement': 'Someone is looking for a city with cold weather. Between Honolulu and Rome, this person should visit Rome.', 'answer': 'Rome', 'candidate': 'Honolulu'}
{'statement': 'Someone is looking for a city with cold weather. Between Mumbai and Cape Town, this person should visit Cape Town.', 'answer': 'Cape Town', 'candidate': 'Mumbai'}
{'statement': 'Someone is looking for a city with cold weather. Between Kunming and Erzurum, this person should visit Erzurum.', 'answer': 'Erzurum', 'candidate': 'Kunming'}
{'statement': 'Someone is looking for a city with cold weather. Between Perth and Nur-Sultan, this person should visit Nur-Sultan.', 'answer': 'Nur-Sultan', 'candidate': 'Perth'}
{'statement': 'Someone is looking for a city with cold weather. Between Barranquilla and Yakutsk, this person should visit Yakutsk.', 'answer': 'Yakutsk', 'candidate': 'Barranquilla'}
{'statement': 'Someone is looking for a city with cold weather. Between Lusaka and Kuopio, this person should visit Kuopio.', 'answer': 'Kuopio', 'candidate': 'Lusaka'}
