{'statement': 'Between Cotonou and Canberra, the city with colder weather is Canberra.', 'answer': 'Canberra', 'candidate': 'Cotonou'}
{'statement': 'Between Mahajanga and Ljubljana, the city with colder weather is Ljubljana.', 'answer': 'Ljubljana', 'candidate': 'Mahajanga'}
{'statement': 'Between Lake Havasu City and Skopje, the city with colder weather is Skopje.', 'answer': 'Skopje', 'candidate': 'Lake Havasu City'}
{'statement': 'Between Sapporo and La Paz, the city with colder weather is Sapporo.', 'answer': 'Sapporo', 'candidate': 'La Paz'}
{'statement': 'Between Sacramento and Nur-Sultan, the city with colder weather is Nur-Sultan.', 'answer': 'Nur-Sultan', 'candidate': 'Sacramento'}
{'statement': 'Between Luanda and Lyon, the city with colder weather is Lyon.', 'answer': 'Lyon', 'candidate': 'Luanda'}
{'statement': 'Between Wellington and Novosibirsk, the city with colder weather is Novosibirsk.', 'answer': 'Novosibirsk', 'candidate': 'Wellington'}
{'statement': 'Between Muscat and Copenhagen, the city with colder weather is Copenhagen.', 'answer': 'Copenhagen', 'candidate': 'Muscat'}
{'statement': 'Between Cotonou and Calgary, the city with colder weather is Calgary.', 'answer': 'Calgary', 'candidate': 'Cotonou'}
{'statement': 'Between Campos do Jordão and Douala, the city with colder weather is Campos do Jordão.', 'answer': 'Campos do Jordão', 'candidate': 'Douala'}
{'statement': 'Between Irkutsk and Ségou, the city with colder weather is Irkutsk.', 'answer': 'Irkutsk', 'candidate': 'Ségou'}
{'statement': 'Between Gabès and Irkutsk, the city with colder weather is Irkutsk.', 'answer': 'Irkutsk', 'candidate': 'Gabès'}
{'statement': 'Between Ürümqi and Surabaya, the city with colder weather is Ürümqi.', 'answer': 'Ürümqi', 'candidate': 'Surabaya'}
{'statement': 'Between Pontianak and Vladivostok, the city with colder weather is Vladivostok.', 'answer': 'Vladivostok', 'candidate': 'Pontianak'}
{'statement': 'Between Lviv and Paramaribo, the city with colder weather is Lviv.', 'answer': 'Lviv', 'candidate': 'Paramaribo'}
{'statement': 'Between Pontianak and Minneapolis, the city with colder weather is Minneapolis.', 'answer': 'Minneapolis', 'candidate': 'Pontianak'}
{'statement': 'Between Saint Petersburg and Parakou, the city with colder weather is Saint Petersburg.', 'answer': 'Saint Petersburg', 'candidate': 'Parakou'}
{'statement': 'Between Bangkok and Chihuahua, the city with colder weather is Chihuahua.', 'answer': 'Chihuahua', 'candidate': 'Bangkok'}
{'statement': 'Between La Paz and Frankfurt, the city with colder weather is Frankfurt.', 'answer': 'Frankfurt', 'candidate': 'La Paz'}
{'statement': 'Between Mombasa and Erzurum, the city with colder weather is Erzurum.', 'answer': 'Erzurum', 'candidate': 'Mombasa'}
{'statement': 'Between Nouakchott and Christchurch, the city with colder weather is Christchurch.', 'answer': 'Christchurch', 'candidate': 'Nouakchott'}
{'statement': 'Between Lagos and Reykjavík, the city with colder weather is Reykjavík.', 'answer': 'Reykjavík', 'candidate': 'Lagos'}
{'statement': 'Between Barranquilla and Canberra, the city with colder weather is Canberra.', 'answer': 'Canberra', 'candidate': 'Barranquilla'}
{'statement': 'Between Sydney and Willemstad, the city with colder weather is Sydney.', 'answer': 'Sydney', 'candidate': 'Willemstad'}
{'statement': 'Between Mombasa and Milwaukee, the city with colder weather is Milwaukee.', 'answer': 'Milwaukee', 'candidate': 'Mombasa'}
{'statement': 'Between Paris and Toliara, the city with colder weather is Paris.', 'answer': 'Paris', 'candidate': 'Toliara'}
{'statement': 'Between Niamey and Podgorica, the city with colder weather is Podgorica.', 'answer': 'Podgorica', 'candidate': 'Niamey'}
{'statement': 'Between Hanoi and Halifax, the city with colder weather is Halifax.', 'answer': 'Halifax', 'candidate': 'Hanoi'}
{'statement': 'Between Mahajanga and Skopje, the city with colder weather is Skopje.', 'answer': 'Skopje', 'candidate': 'Mahajanga'}
{'statement': 'Between Kampala and Suwałki, the city with colder weather is Suwałki.', 'answer': 'Suwałki', 'candidate': 'Kampala'}
{'statement': 'Between Bucharest and Makassar, the city with colder weather is Bucharest.', 'answer': 'Bucharest', 'candidate': 'Makassar'}
{'statement': 'Between Bergen and Pretoria, the city with colder weather is Bergen.', 'answer': 'Bergen', 'candidate': 'Pretoria'}
{'statement': 'Between Auckland and Conakry, the city with colder weather is Auckland.', 'answer': 'Auckland', 'candidate': 'Conakry'}
{'statement': 'Between Port Sudan and Buenos Aires, the city with colder weather is Buenos Aires.', 'answer': 'Buenos Aires', 'candidate': 'Port Sudan'}
{'statement': 'Between Ulaanbaatar and Douala, the city with colder weather is Ulaanbaatar.', 'answer': 'Ulaanbaatar', 'candidate': 'Douala'}
{'statement': 'Between Medellín and Kansas City, the city with colder weather is Kansas City.', 'answer': 'Kansas City', 'candidate': 'Medellín'}
{'statement': 'Between Yinchuan and Willemstad, the city with colder weather is Yinchuan.', 'answer': 'Yinchuan', 'candidate': 'Willemstad'}
{'statement': 'Between Honolulu and Auckland, the city with colder weather is Auckland.', 'answer': 'Auckland', 'candidate': 'Honolulu'}
{'statement': 'Between Berlin and Bujumbura, the city with colder weather is Berlin.', 'answer': 'Berlin', 'candidate': 'Bujumbura'}
{'statement': 'Between Villahermosa and Moscow, the city with colder weather is Moscow.', 'answer': 'Moscow', 'candidate': 'Villahermosa'}
{'statement': 'Between Upington and Suwałki, the city with colder weather is Suwałki.', 'answer': 'Suwałki', 'candidate': 'Upington'}
{'statement': 'Between Lyon and Jakarta, the city with colder weather is Lyon.', 'answer': 'Lyon', 'candidate': 'Jakarta'}
{'statement': 'Between Garoua and Campos do Jordão, the city with colder weather is Campos do Jordão.', 'answer': 'Campos do Jordão', 'candidate': 'Garoua'}
{'statement': 'Between Ljubljana and Abéché, the city with colder weather is Ljubljana.', 'answer': 'Ljubljana', 'candidate': 'Abéché'}
{'statement': 'Between Kano and Albuquerque, the city with colder weather is Albuquerque.', 'answer': 'Albuquerque', 'candidate': 'Kano'}
{'statement': 'Between Fairbanks and Ho Chi Minh City, the city with colder weather is Fairbanks.', 'answer': 'Fairbanks', 'candidate': 'Ho Chi Minh City'}
{'statement': 'Between Tucson and Minsk, the city with colder weather is Minsk.', 'answer': 'Minsk', 'candidate': 'Tucson'}
{'statement': 'Between Juba and Copenhagen, the city with colder weather is Copenhagen.', 'answer': 'Copenhagen', 'candidate': 'Juba'}
{'statement': 'Between San José and Skopje, the city with colder weather is Skopje.', 'answer': 'Skopje', 'candidate': 'San José'}
{'statement': 'Between Johannesburg and Kuopio, the city with colder weather is Kuopio.', 'answer': 'Kuopio', 'candidate': 'Johannesburg'}
{'statement': 'Between Anchorage and Hamilton, the city with colder weather is Anchorage.', 'answer': 'Anchorage', 'candidate': 'Hamilton'}
