{'statement': 'Between Suva and Berlin, the city with warmer weather is Suva.', 'answer': 'Suva', 'candidate': 'Berlin'}
{'statement': 'Between Baghdad and Halifax, the city with warmer weather is Baghdad.', 'answer': 'Baghdad', 'candidate': 'Halifax'}
{'statement': 'Between Abéché and Kuopio, the city with warmer weather is Abéché.', 'answer': 'Abéché', 'candidate': 'Kuopio'}
{'statement': 'Between Garoua and Milan, the city with warmer weather is Garoua.', 'answer': 'Garoua', 'candidate': 'Milan'}
{'statement': 'Between Riyadh and Indianapolis, the city with warmer weather is Riyadh.', 'answer': 'Riyadh', 'candidate': 'Indianapolis'}
{'statement': 'Between Lagos and Podgorica, the city with warmer weather is Lagos.', 'answer': 'Lagos', 'candidate': 'Podgorica'}
{'statement': 'Between Mexicali and Milan, the city with warmer weather is Mexicali.', 'answer': 'Mexicali', 'candidate': 'Milan'}
{'statement': 'Between Mendoza and Irkutsk, the city with warmer weather is Mendoza.', 'answer': 'Mendoza', 'candidate': 'Irkutsk'}
{'statement': 'Between San Juan and Baltimore, the city with warmer weather is San Juan.', 'answer': 'San Juan', 'candidate': 'Baltimore'}
{'statement': 'Between Garissa and Chicago, the city with warmer weather is Garissa.', 'answer': 'Garissa', 'candidate': 'Chicago'}
{'statement': 'Between Pontianak and Moscow, the city with warmer weather is Pontianak.', 'answer': 'Pontianak', 'candidate': 'Moscow'}
{'statement': 'Between Yaoundé and Minsk, the city with warmer weather is Yaoundé.', 'answer': 'Yaoundé', 'candidate': 'Minsk'}
{'statement': 'Between Mahajanga and Lhasa, the city with warmer weather is Mahajanga.', 'answer': 'Mahajanga', 'candidate': 'Lhasa'}
{'statement': 'Between Ouahigouya and Palmerston North, the city with warmer weather is Ouahigouya.', 'answer': 'Ouahigouya', 'candidate': 'Palmerston North'}
{'statement': 'Between Hat Yai and Brussels, the city with warmer weather is Hat Yai.', 'answer': 'Hat Yai', 'candidate': 'Brussels'}
{'statement': 'Between Yaoundé and Vladivostok, the city with warmer weather is Yaoundé.', 'answer': 'Yaoundé', 'candidate': 'Vladivostok'}
{'statement': 'Between Rangpur and Ürümqi, the city with warmer weather is Rangpur.', 'answer': 'Rangpur', 'candidate': 'Ürümqi'}
{'statement': 'Between San Salvador and Berlin, the city with warmer weather is San Salvador.', 'answer': 'San Salvador', 'candidate': 'Berlin'}
{'statement': 'Between Nouakchott and Chicago, the city with warmer weather is Nouakchott.', 'answer': 'Nouakchott', 'candidate': 'Chicago'}
{'statement': 'Between Phoenix and Zagreb, the city with warmer weather is Phoenix.', 'answer': 'Phoenix', 'candidate': 'Zagreb'}
{'statement': 'Between Malabo and Christchurch, the city with warmer weather is Malabo.', 'answer': 'Malabo', 'candidate': 'Christchurch'}
{'statement': 'Between Belize City and Antofagasta, the city with warmer weather is Belize City.', 'answer': 'Belize City', 'candidate': 'Antofagasta'}
{'statement': 'Between La Paz and Hobart, the city with warmer weather is La Paz.', 'answer': 'La Paz', 'candidate': 'Hobart'}
{'statement': 'Between Palembang and Halifax, the city with warmer weather is Palembang.', 'answer': 'Palembang', 'candidate': 'Halifax'}
{'statement': 'Between Lomé and Napier, the city with warmer weather is Lomé.', 'answer': 'Lomé', 'candidate': 'Napier'}
{'statement': 'Between Suva and Bucharest, the city with warmer weather is Suva.', 'answer': 'Suva', 'candidate': 'Bucharest'}
{'statement': 'Between Antsiranana and Nur-Sultan, the city with warmer weather is Antsiranana.', 'answer': 'Antsiranana', 'candidate': 'Nur-Sultan'}
{'statement': 'Between Mumbai and Nur-Sultan, the city with warmer weather is Mumbai.', 'answer': 'Mumbai', 'candidate': 'Nur-Sultan'}
{'statement': 'Between Lagos and Anchorage, the city with warmer weather is Lagos.', 'answer': 'Lagos', 'candidate': 'Anchorage'}
{'statement': 'Between Garoua and Pittsburgh, the city with warmer weather is Garoua.', 'answer': 'Garoua', 'candidate': 'Pittsburgh'}
{'statement': 'Between Barranquilla and Sacramento, the city with warmer weather is Barranquilla.', 'answer': 'Barranquilla', 'candidate': 'Sacramento'}
{'statement': 'Between Muscat and Vienna, the city with warmer weather is Muscat.', 'answer': 'Muscat', 'candidate': 'Vienna'}
{'statement': 'Between Kingston and Yerevan, the city with warmer weather is Kingston.', 'answer': 'Kingston', 'candidate': 'Yerevan'}
{'statement': 'Between Brasília and Moscow, the city with warmer weather is Brasília.', 'answer': 'Brasília', 'candidate': 'Moscow'}
{'statement': 'Between Juba and Christchurch, the city with warmer weather is Juba.', 'answer': 'Juba', 'candidate': 'Christchurch'}
{'statement': 'Between Bujumbura and Saskatoon, the city with warmer weather is Bujumbura.', 'answer': 'Bujumbura', 'candidate': 'Saskatoon'}
{'statement': 'Between Niamey and Ljubljana, the city with warmer weather is Niamey.', 'answer': 'Niamey', 'candidate': 'Ljubljana'}
{'statement': 'Between Toamasina and Bucharest, the city with warmer weather is Toamasina.', 'answer': 'Toamasina', 'candidate': 'Bucharest'}
