{'statement': 'You are looking for a big city to visit. Between Baghdad and Ségou, you should visit Baghdad.', 'answer': 'Baghdad', 'candidate': 'Ségou'}
{'statement': 'You are looking for a big city to visit. Between Hanoi and Milwaukee, you should visit Hanoi.', 'answer': 'Hanoi', 'candidate': 'Milwaukee'}
{'statement': 'You are looking for a big city to visit. Between Mumbai and Damascus, you should visit Mumbai.', 'answer': 'Mumbai', 'candidate': 'Damascus'}
{'statement': 'You are looking for a big city to visit. Between Los Angeles and Kathmandu, you should visit Los Angeles.', 'answer': 'Los Angeles', 'candidate': 'Kathmandu'}
{'statement': 'You are looking for a big city to visit. Between Toronto and Indianapolis, you should visit Toronto.', 'answer': 'Toronto', 'candidate': 'Indianapolis'}
{'statement': 'You are looking for a big city to visit. Between Riyadh and Kampala, you should visit Riyadh.', 'answer': 'Riyadh', 'candidate': 'Kampala'}
{'statement': 'You are looking for a big city to visit. Between Tampa and Fairbanks, you should visit Tampa.', 'answer': 'Tampa', 'candidate': 'Fairbanks'}
{'statement': 'You are looking for a big city to visit. Between Lagos and Omaha, you should visit Lagos.', 'answer': 'Lagos', 'candidate': 'Omaha'}
{'statement': 'You are looking for a big city to visit. Between Santiago and Wau, you should visit Santiago.', 'answer': 'Santiago', 'candidate': 'Wau'}
{'statement': 'You are looking for a big city to visit. Between Guangzhou and Sapporo, you should visit Guangzhou.', 'answer': 'Guangzhou', 'candidate': 'Sapporo'}
{'statement': 'You are looking for a big city to visit. Between Addis Ababa and La Ceiba, you should visit Addis Ababa.', 'answer': 'Addis Ababa', 'candidate': 'La Ceiba'}
{'statement': 'You are looking for a big city to visit. Between Karachi and Damascus, you should visit Karachi.', 'answer': 'Karachi', 'candidate': 'Damascus'}
{'statement': 'You are looking for a big city to visit. Between Nairobi and Sapporo, you should visit Nairobi.', 'answer': 'Nairobi', 'candidate': 'Sapporo'}
