{'statement': "You don't like small cities. Between Guangzhou and Antofagasta, you should visit Guangzhou.", 'answer': 'Guangzhou', 'candidate': 'Antofagasta'}
{'statement': "You don't like small cities. Between Tashkent and Suwałki, you should visit Tashkent.", 'answer': 'Tashkent', 'candidate': 'Suwałki'}
{'statement': "You don't like small cities. Between Buenos Aires and Porto Alegre, you should visit Buenos Aires.", 'answer': 'Buenos Aires', 'candidate': 'Porto Alegre'}
{'statement': "You don't like small cities. Between Guadalajara and Lhasa, you should visit Guadalajara.", 'answer': 'Guadalajara', 'candidate': 'Lhasa'}
{'statement': "You don't like small cities. Between Saint Petersburg and Upington, you should visit Saint Petersburg.", 'answer': 'Saint Petersburg', 'candidate': 'Upington'}
{'statement': "You don't like small cities. Between Fukuoka and Ségou, you should visit Fukuoka.", 'answer': 'Fukuoka', 'candidate': 'Ségou'}
{'statement': "You don't like small cities. Between Los Angeles and Murmansk, you should visit Los Angeles.", 'answer': 'Los Angeles', 'candidate': 'Murmansk'}
{'statement': "You don't like small cities. Between Harare and Entebbe, you should visit Harare.", 'answer': 'Harare', 'candidate': 'Entebbe'}
{'statement': "You don't like small cities. Between Kabul and Lviv, you should visit Kabul.", 'answer': 'Kabul', 'candidate': 'Lviv'}
{'statement': "You don't like small cities. Between Kuwait City and Canberra, you should visit Kuwait City.", 'answer': 'Kuwait City', 'candidate': 'Canberra'}
{'statement': "You don't like small cities. Between Jakarta and Changsha, you should visit Jakarta.", 'answer': 'Jakarta', 'candidate': 'Changsha'}
{'statement': "You don't like small cities. Between Bogotá and Pretoria, you should visit Bogotá.", 'answer': 'Bogotá', 'candidate': 'Pretoria'}
{'statement': "You don't like small cities. Between Manila and Toamasina, you should visit Manila.", 'answer': 'Manila', 'candidate': 'Toamasina'}
{'statement': "You don't like small cities. Between Nairobi and Antofagasta, you should visit Nairobi.", 'answer': 'Nairobi', 'candidate': 'Antofagasta'}
{'statement': "You don't like small cities. Between Melbourne and Amsterdam, you should visit Melbourne.", 'answer': 'Melbourne', 'candidate': 'Amsterdam'}
{'statement': "You don't like small cities. Between Kabul and Upington, you should visit Kabul.", 'answer': 'Kabul', 'candidate': 'Upington'}
{'statement': "You don't like small cities. Between Rome and Belize City, you should visit Rome.", 'answer': 'Rome', 'candidate': 'Belize City'}
{'statement': "You don't like small cities. Between Santiago and Thiès, you should visit Santiago.", 'answer': 'Santiago', 'candidate': 'Thiès'}
{'statement': "You don't like small cities. Between Johannesburg and Podgorica, you should visit Johannesburg.", 'answer': 'Johannesburg', 'candidate': 'Podgorica'}
{'statement': "You don't like small cities. Between Hanoi and Abéché, you should visit Hanoi.", 'answer': 'Hanoi', 'candidate': 'Abéché'}
{'statement': "You don't like small cities. Between Berlin and Christchurch, you should visit Berlin.", 'answer': 'Berlin', 'candidate': 'Christchurch'}
{'statement': "You don't like small cities. Between Jakarta and San José, you should visit Jakarta.", 'answer': 'Jakarta', 'candidate': 'San José'}
{'statement': "You don't like small cities. Between Guadalajara and Irkutsk, you should visit Guadalajara.", 'answer': 'Guadalajara', 'candidate': 'Irkutsk'}
{'statement': "You don't like small cities. Between Kuwait City and Bata, you should visit Kuwait City.", 'answer': 'Kuwait City', 'candidate': 'Bata'}
{'statement': "You don't like small cities. Between London and Copenhagen, you should visit London.", 'answer': 'London', 'candidate': 'Copenhagen'}
{'statement': "You don't like small cities. Between Luanda and Pretoria, you should visit Luanda.", 'answer': 'Luanda', 'candidate': 'Pretoria'}
{'statement': "You don't like small cities. Between Perth and Toliara, you should visit Perth.", 'answer': 'Perth', 'candidate': 'Toliara'}
{'statement': "You don't like small cities. Between Riyadh and Oslo, you should visit Riyadh.", 'answer': 'Riyadh', 'candidate': 'Oslo'}
{'statement': "You don't like small cities. Between Luanda and Chihuahua, you should visit Luanda.", 'answer': 'Luanda', 'candidate': 'Chihuahua'}
{'statement': "You don't like small cities. Between Dar es Salaam and Porto Alegre, you should visit Dar es Salaam.", 'answer': 'Dar es Salaam', 'candidate': 'Porto Alegre'}
{'statement': "You don't like small cities. Between Luanda and Cabo San Lucas, you should visit Luanda.", 'answer': 'Luanda', 'candidate': 'Cabo San Lucas'}
{'statement': "You don't like small cities. Between Jakarta and Manaus, you should visit Jakarta.", 'answer': 'Jakarta', 'candidate': 'Manaus'}
{'statement': "You don't like small cities. Between Buenos Aires and Brasília, you should visit Buenos Aires.", 'answer': 'Buenos Aires', 'candidate': 'Brasília'}
{'statement': "You don't like small cities. Between Rome and Antsiranana, you should visit Rome.", 'answer': 'Rome', 'candidate': 'Antsiranana'}
{'statement': "You don't like small cities. Between Ho Chi Minh City and Port Moresby, you should visit Ho Chi Minh City.", 'answer': 'Ho Chi Minh City', 'candidate': 'Port Moresby'}
{'statement': "You don't like small cities. Between Ürümqi and Mexicali, you should visit Ürümqi.", 'answer': 'Ürümqi', 'candidate': 'Mexicali'}
{'statement': "You don't like small cities. Between London and San José, you should visit London.", 'answer': 'London', 'candidate': 'San José'}
{'statement': "You don't like small cities. Between Guadalajara and Indianapolis, you should visit Guadalajara.", 'answer': 'Guadalajara', 'candidate': 'Indianapolis'}
{'statement': "You don't like small cities. Between Kano and Malabo, you should visit Kano.", 'answer': 'Kano', 'candidate': 'Malabo'}
{'statement': "You don't like small cities. Between Mexico City and Minsk, you should visit Mexico City.", 'answer': 'Mexico City', 'candidate': 'Minsk'}
{'statement': "You don't like small cities. Between Sydney and Piura, you should visit Sydney.", 'answer': 'Sydney', 'candidate': 'Piura'}
{'statement': "You don't like small cities. Between Lagos and Asmara, you should visit Lagos.", 'answer': 'Lagos', 'candidate': 'Asmara'}
{'statement': "You don't like small cities. Between Tashkent and Cape Town, you should visit Tashkent.", 'answer': 'Tashkent', 'candidate': 'Cape Town'}
{'statement': "You don't like small cities. Between Baghdad and Tashkent, you should visit Baghdad.", 'answer': 'Baghdad', 'candidate': 'Tashkent'}
{'statement': "You don't like small cities. Between London and Tampa, you should visit London.", 'answer': 'London', 'candidate': 'Tampa'}
{'statement': "You don't like small cities. Between Johannesburg and Dublin, you should visit Johannesburg.", 'answer': 'Johannesburg', 'candidate': 'Dublin'}
{'statement': "You don't like small cities. Between Nairobi and Kuwait City, you should visit Nairobi.", 'answer': 'Nairobi', 'candidate': 'Kuwait City'}
{'statement': "You don't like small cities. Between Shanghai and Bangui, you should visit Shanghai.", 'answer': 'Shanghai', 'candidate': 'Bangui'}
{'statement': "You don't like small cities. Between Manila and Sokoto, you should visit Manila.", 'answer': 'Manila', 'candidate': 'Sokoto'}
{'statement': "You don't like small cities. Between Hanoi and Ottawa, you should visit Hanoi.", 'answer': 'Hanoi', 'candidate': 'Ottawa'}
{'statement': "You don't like small cities. Between Hanoi and Almaty, you should visit Hanoi.", 'answer': 'Hanoi', 'candidate': 'Almaty'}
{'statement': "You don't like small cities. Between Jakarta and Johannesburg, you should visit Jakarta.", 'answer': 'Jakarta', 'candidate': 'Johannesburg'}
{'statement': "You don't like small cities. Between Mumbai and Nouadhibou, you should visit Mumbai.", 'answer': 'Mumbai', 'candidate': 'Nouadhibou'}
{'statement': "You don't like small cities. Between Manila and Sapporo, you should visit Manila.", 'answer': 'Manila', 'candidate': 'Sapporo'}
{'statement': "You don't like small cities. Between Dar es Salaam and Río Gallegos, you should visit Dar es Salaam.", 'answer': 'Dar es Salaam', 'candidate': 'Río Gallegos'}
{'statement': "You don't like small cities. Between Luanda and Mombasa, you should visit Luanda.", 'answer': 'Luanda', 'candidate': 'Mombasa'}
{'statement': "You don't like small cities. Between Mexico City and Pretoria, you should visit Mexico City.", 'answer': 'Mexico City', 'candidate': 'Pretoria'}
{'statement': "You don't like small cities. Between Kabul and Thiès, you should visit Kabul.", 'answer': 'Kabul', 'candidate': 'Thiès'}
{'statement': "You don't like small cities. Between Phoenix and Albuquerque, you should visit Phoenix.", 'answer': 'Phoenix', 'candidate': 'Albuquerque'}
{'statement': "You don't like small cities. Between Hanoi and Suwałki, you should visit Hanoi.", 'answer': 'Hanoi', 'candidate': 'Suwałki'}
{'statement': "You don't like small cities. Between Sydney and Cotonou, you should visit Sydney.", 'answer': 'Sydney', 'candidate': 'Cotonou'}
{'statement': "You don't like small cities. Between Paris and Zürich, you should visit Paris.", 'answer': 'Paris', 'candidate': 'Zürich'}
{'statement': "You don't like small cities. Between Beijing and Viedma, you should visit Beijing.", 'answer': 'Beijing', 'candidate': 'Viedma'}
{'statement': "You don't like small cities. Between Rome and Cayenne, you should visit Rome.", 'answer': 'Rome', 'candidate': 'Cayenne'}
{'statement': "You don't like small cities. Between Melbourne and Bratislava, you should visit Melbourne.", 'answer': 'Melbourne', 'candidate': 'Bratislava'}
{'statement': "You don't like small cities. Between Guadalajara and Baku, you should visit Guadalajara.", 'answer': 'Guadalajara', 'candidate': 'Baku'}
{'statement': "You don't like small cities. Between Kuwait City and Piura, you should visit Kuwait City.", 'answer': 'Kuwait City', 'candidate': 'Piura'}
{'statement': "You don't like small cities. Between Paris and Skopje, you should visit Paris.", 'answer': 'Paris', 'candidate': 'Skopje'}
{'statement': "You don't like small cities. Between Shanghai and Hamilton, you should visit Shanghai.", 'answer': 'Shanghai', 'candidate': 'Hamilton'}
{'statement': "You don't like small cities. Between Jakarta and Tampa, you should visit Jakarta.", 'answer': 'Jakarta', 'candidate': 'Tampa'}
{'statement': "You don't like small cities. Between Mumbai and Quito, you should visit Mumbai.", 'answer': 'Mumbai', 'candidate': 'Quito'}
{'statement': "You don't like small cities. Between Rome and Hamilton, you should visit Rome.", 'answer': 'Rome', 'candidate': 'Hamilton'}
{'statement': "You don't like small cities. Between Baltimore and Viedma, you should visit Baltimore.", 'answer': 'Baltimore', 'candidate': 'Viedma'}
{'statement': "You don't like small cities. Between Santiago and Campos do Jordão, you should visit Santiago.", 'answer': 'Santiago', 'candidate': 'Campos do Jordão'}
{'statement': "You don't like small cities. Between Algiers and Mandalay, you should visit Algiers.", 'answer': 'Algiers', 'candidate': 'Mandalay'}
{'statement': "You don't like small cities. Between Monterrey and Hat Yai, you should visit Monterrey.", 'answer': 'Monterrey', 'candidate': 'Hat Yai'}
{'statement': "You don't like small cities. Between Hanoi and Florianópolis, you should visit Hanoi.", 'answer': 'Hanoi', 'candidate': 'Florianópolis'}
{'statement': "You don't like small cities. Between Karachi and Nairobi, you should visit Karachi.", 'answer': 'Karachi', 'candidate': 'Nairobi'}
{'statement': "You don't like small cities. Between Paris and Djibouti, you should visit Paris.", 'answer': 'Paris', 'candidate': 'Djibouti'}
{'statement': "You don't like small cities. Between Chicago and La Paz, you should visit Chicago.", 'answer': 'Chicago', 'candidate': 'La Paz'}
{'statement': "You don't like small cities. Between Mumbai and Paris, you should visit Mumbai.", 'answer': 'Mumbai', 'candidate': 'Paris'}
{'statement': "You don't like small cities. Between Lahore and Oslo, you should visit Lahore.", 'answer': 'Lahore', 'candidate': 'Oslo'}
{'statement': "You don't like small cities. Between Algiers and Ushuaia, you should visit Algiers.", 'answer': 'Algiers', 'candidate': 'Ushuaia'}
{'statement': "You don't like small cities. Between Cairo and Toamasina, you should visit Cairo.", 'answer': 'Cairo', 'candidate': 'Toamasina'}
{'statement': "You don't like small cities. Between Chicago and Malabo, you should visit Chicago.", 'answer': 'Chicago', 'candidate': 'Malabo'}
